# Exhaustive local K declaration and rule inventory
# disposition meanings:
#   USED_PATH_REVIEWED: reached by the submitted Module or by the candidate Call claim
#   FIXED_UNUSED_NO_FALSE_WITNESS: supplied baseline declaration/rule not reached here;
#     no concrete or symbolic false-conclusion witness was found in this audit
#   LOCAL_CLAIM_REVIEWED: candidate reachability claim, reviewed separately for adequacy

## FILE semantics.k declarations=0
(no local syntax, rules, claims, contexts, or configuration)

## FILE semantics/assert.k declarations=3
semantics/assert.k:6 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assert(V:Val) => .K ... </k>
semantics/assert.k:8 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
semantics/assert.k:13 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]

## FILE semantics/bool.k declarations=14
semantics/bool.k:8 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyUn("not", V:Val) => notBool truthy(V)
semantics/bool.k:10 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
semantics/bool.k:11 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
semantics/bool.k:16 | kind=context | classes=evaluation_context | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | context BoolOp(_, (HOLE:Expr, _:Exprs))
semantics/bool.k:17 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
semantics/bool.k:18 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
semantics/bool.k:20 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
semantics/bool.k:22 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
semantics/bool.k:24 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
semantics/bool.k:29 | kind=rule | classes=ordinary_semantic_rule,priority_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
semantics/bool.k:31 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
semantics/bool.k:35 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
semantics/bool.k:39 | kind=rule | classes=ordinary_semantic_rule | disposition=FIXED_UNUSED_NO_FALSE_WITNESS | rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
