id	file	line	kind	attributes	reachability	disposition	text
57	reference-semantics/semantics/assert.k	13	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
74	reference-semantics/semantics/bool.k	29	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
76	reference-semantics/semantics/bool.k	33	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires truthy(V) [priority(40)]
78	reference-semantics/semantics/bool.k	37	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires notBool truthy(V) [priority(40)]
80	reference-semantics/semantics/bool.k	41	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires truthy(V) [priority(40)]
82	reference-semantics/semantics/bool.k	45	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires notBool truthy(V) [priority(40)]
276	reference-semantics/semantics/builtins.k	280	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
305	reference-semantics/semantics/call.k	38	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
307	reference-semantics/semantics/call.k	45	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires notBool isRefV(A) [priority(40)]
308	reference-semantics/semantics/call.k	47	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> #applyK(toCall(typeV(T:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(typeV(T)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
312	reference-semantics/semantics/call.k	59	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires notBool isMutMethod(M) [priority(40)]
314	reference-semantics/semantics/call.k	66	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires notBool isMutMethod(M) andBool notBool isRefV(OBJ) [priority(40)]
347	reference-semantics/semantics/concrete.k	28	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
348	reference-semantics/semantics/concrete.k	31	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
374	reference-semantics/semantics/controls.k	15	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool X in_keys(M) andBool isCellRef({M[X]}:>Val) [priority(40)]
378	reference-semantics/semantics/controls.k	30	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires X in_keys(M) andBool isRefV({M[X]}:>Val) [priority(40)]
414	reference-semantics/semantics/controls.k	95	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> If(ref(H:Int), T:Stmts, E:Stmts) => If(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
415	reference-semantics/semantics/controls.k	98	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> IfExp(ref(H:Int), T:Expr, E:Expr) => IfExp(V, T, E) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
416	reference-semantics/semantics/controls.k	101	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> ref(H:Int) ~> #whileCond(C:Expr, B:Stmts) => V ~> #whileCond(C, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
417	reference-semantics/semantics/controls.k	106	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> For(T:Expr, ref(H:Int), B:Stmts) => For(T, V, B) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
448	reference-semantics/semantics/core.k	89	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "$cells" in_keys(M) [priority(40)]
477	reference-semantics/semantics/core.k	148	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires X in_keys(M) andBool "$cells" in_keys(M) andBool pnMember(X, cellsOf({M["$cells"]}:>Val)) andBool {M[X]}:>Val ==K cellRef(H) [priority(40)]
545	reference-semantics/semantics/dict.k	58	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), "keys")), .Vals) => #alloc(list(KS)) ... </k> [priority(40)]
548	reference-semantics/semantics/dict.k	65	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k> [priority(45)]
595	reference-semantics/semantics/float.k	66	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Attribute(Name("math"), "ceil"), (E:Expr, .Exprs)) => E ~> #mathCeil ... </k> [priority(40)]
598	reference-semantics/semantics/float.k	71	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Attribute(Name("math"), "floor"), (E:Expr, .Exprs)) => E ~> #mathFloor ... </k> [priority(40)]
606	reference-semantics/semantics/float.k	83	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Attribute(Name("math"), "pow"), (E1:Expr, E2:Expr, .Exprs)) => E1 ~> #mathPow1(E2) ... </k> [priority(40)]
712	reference-semantics/semantics/float.k	233	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Attribute(Name("math"), "sqrt"), (E:Expr, .Exprs)) => E ~> #mathSqrt ... </k> [priority(40)]
757	reference-semantics/semantics/functions.k	72	requires	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "$cells" in_keys(M) andBool pnMember(P, cellsOf({M["$cells"]}:>Val)) andBool P in_keys(M) andBool isCellRef({M[P]}:>Val) [priority(40)]
798	reference-semantics/semantics/list.k	24	rule	priority	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	rule <k> BinOp("+", list(A:ValSeq), list(B:ValSeq)) => #alloc(list(valSeqConcat(A, B))) ... </k> [priority(45)]
