id	file	line	kind	attributes	reachability	disposition	text
1	reference-semantics/semantics.k	34	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/syntax.k"
2	reference-semantics/semantics.k	35	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/core.k"
3	reference-semantics/semantics.k	36	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/iter.k"
4	reference-semantics/semantics.k	37	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/range.k"
5	reference-semantics/semantics.k	38	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/operators.k"
6	reference-semantics/semantics.k	39	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/int.k"
7	reference-semantics/semantics.k	40	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/bool.k"
8	reference-semantics/semantics.k	41	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/float.k"
9	reference-semantics/semantics.k	42	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/str.k"
10	reference-semantics/semantics.k	43	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/set.k"
11	reference-semantics/semantics.k	44	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/list.k"
12	reference-semantics/semantics.k	45	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/tuple.k"
13	reference-semantics/semantics.k	46	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/subscript.k"
14	reference-semantics/semantics.k	47	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/comprehension.k"
15	reference-semantics/semantics.k	48	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/methods.k"
16	reference-semantics/semantics.k	49	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/controls.k"
17	reference-semantics/semantics.k	50	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/functions.k"
18	reference-semantics/semantics.k	51	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/builtins.k"
19	reference-semantics/semantics.k	52	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/call.k"
20	reference-semantics/semantics.k	53	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/sort.k"
21	reference-semantics/semantics.k	54	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/assert.k"
22	reference-semantics/semantics.k	55	requires	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/dict.k"
23	reference-semantics/semantics.k	56	requires	concrete	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	requires "semantics/concrete.k"
24	reference-semantics/semantics.k	58	module	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	module MPY
25	reference-semantics/semantics.k	59	imports	-	fixed_not_reached	TRUSTED_SUPPLIED_BASELINE_UNREACHED	imports MPY-CORE
