COMMAND: python3 /audit-output/evidence/05_inventory.py
inventory_path=/audit-output/evidence/05_rule_inventory.tsv
inventory_entries=958
kind_counts=claim:2,configuration:1,context:5,rule:713,syntax:237
flag_counts=concrete:35,function:156,macro:4,no-evaluators:22,owise:27,priority:45,strict:2,symbol:25,total:112
decision_count[ACCEPTED_FIXED_SUPPLIED_SEMANTICS]=928
decision_count[RECONSTRUCTED_DERIVED_CIRCULARITY]=1
decision_count[RECONSTRUCTED_TARGET_CONNECTION]=1
decision_count[VALID_DESCENDING_SCAN_DEFINITION]=9
decision_count[VALID_EXACT_BINDING_ALIAS]=2
decision_count[VALID_EXACT_PROGRAM_ALIAS]=4
decision_count[VALID_EXHAUSTIVE_DOMAIN_PREDICATE]=3
decision_count[VALID_EXHAUSTIVE_MATH_DEFINITION]=3
decision_count[VALID_PROJECTION_DEFINITION]=5
decision_count[VALID_RESULT_DEFINITION]=2
EXHAUSTIVE_INVENTORY=PASS
EXIT_STATUS: 0
COMMAND: list every proof-local inventory row
file	start_line	end_line	kind	flags	decision	rationale	source
/tmp/audit-work/reconstruction/verification.k	7	7	syntax	function	VALID_EXACT_PROGRAM_ALIAS	Parsed constructor tree equals the translated loop body.	"syntax Stmts ::= ""parseLoopBody"" [function]"
/tmp/audit-work/reconstruction/verification.k	8	20	rule	-	VALID_EXACT_PROGRAM_ALIAS	Parsed constructor tree equals the translated loop body.	"rule parseLoopBody => If(Compare(Name(""char""), CmpOp(""=="", Str(""(""))), AugAssign(Name(""depth""), ""+"", Int(1)) If(Compare(Name(""depth""), CmpOp("">"", Name(""maximum""))), Assign(Name(""maximum""), Name(""depth"")), .Stmts), If(Compare(Name(""char""), CmpOp(""=="", Str("")""))), AugAssign(Name(""depth""), ""-"", Int(1)), If(Compare(Name(""char""), CmpOp(""=="", Str("" ""))), Expr(Call(Attribute(Name(""result""), ""append""), Name(""maximum""))) Assign(Name(""depth""), Int(0)) Assign(Name(""maximum""), Int(0)), .Stmts)))"
/tmp/audit-work/reconstruction/verification.k	23	23	syntax	function	VALID_EXACT_PROGRAM_ALIAS	After expanding parseLoopBody, parsed tree equals translated function body.	"syntax Stmts ::= ""parseFunctionBody"" [function]"
/tmp/audit-work/reconstruction/verification.k	24	31	rule	-	VALID_EXACT_PROGRAM_ALIAS	After expanding parseLoopBody, parsed tree equals translated function body.	"rule parseFunctionBody => Assign(Name(""result""), ListExpr(.Exprs)) Assign(Name(""depth""), Int(0)) Assign(Name(""maximum""), Int(0)) Assign(Name(""char""), Str("""")) For(Name(""char""), Name(""paren_string""), parseLoopBody) Expr(Call(Attribute(Name(""result""), ""append""), Name(""maximum""))) Return(Name(""result""))"
/tmp/audit-work/reconstruction/verification.k	33	33	syntax	function	VALID_EXACT_BINDING_ALIAS	Same parameter, body, and module definition environment as source FuncDef.	"syntax Val ::= ""parseNestedParensClosure"" [function]"
/tmp/audit-work/reconstruction/verification.k	34	35	rule	-	VALID_EXACT_BINDING_ALIAS	Same parameter, body, and module definition environment as source FuncDef.	"rule parseNestedParensClosure => closureVal(""paren_string"", parseFunctionBody, 0)"
/tmp/audit-work/reconstruction/verification.k	41	42	syntax	function	VALID_DESCENDING_SCAN_DEFINITION	Consumes one IntSeq constructor per recursive step; cases are disjoint with owise covering the remainder.	syntax ScanState ::= scanDone(Int, Int, ValSeq) | scanParens(IntSeq, Int, Int, ValSeq) [function]
/tmp/audit-work/reconstruction/verification.k	44	44	syntax	function,total	VALID_EXHAUSTIVE_MATH_DEFINITION	A>B and A<=B are disjoint/exhaustive and return max(A,B).	syntax Int ::= parenMax(Int, Int) [function, total]
/tmp/audit-work/reconstruction/verification.k	45	45	rule	-	VALID_EXHAUSTIVE_MATH_DEFINITION	A>B and A<=B are disjoint/exhaustive and return max(A,B).	rule parenMax(A:Int, B:Int) => A requires A >Int B
/tmp/audit-work/reconstruction/verification.k	46	46	rule	-	VALID_EXHAUSTIVE_MATH_DEFINITION	A>B and A<=B are disjoint/exhaustive and return max(A,B).	rule parenMax(A:Int, B:Int) => B requires A <=Int B
