source	line	kind	attributes	origin_review_class	declaration
reference-semantics/semantics/assert.k	3	module	-	SUPPLIED_BASE	module MPY-ASSERT
reference-semantics/semantics/assert.k	4	imports	-	SUPPLIED_BASE	imports MPY-CORE
reference-semantics/semantics/assert.k	6	rule	-	SUPPLIED_BASE	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8	rule	-	SUPPLIED_BASE	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13	rule	priority	SUPPLIED_BASE	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/assert.k	16	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/bool.k	5	module	-	SUPPLIED_BASE	module MPY-BOOL
reference-semantics/semantics/bool.k	6	imports	-	SUPPLIED_BASE	imports MPY-CORE
reference-semantics/semantics/bool.k	8	rule	-	SUPPLIED_BASE	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	rule	-	SUPPLIED_BASE	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	rule	-	SUPPLIED_BASE	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	16	context	-	SUPPLIED_BASE	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17	rule	-	SUPPLIED_BASE	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	rule	-	SUPPLIED_BASE	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	20	rule	-	SUPPLIED_BASE	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	22	rule	-	SUPPLIED_BASE	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	24	rule	-	SUPPLIED_BASE	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	29	rule	priority	SUPPLIED_BASE	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	rule	priority	SUPPLIED_BASE	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	35	rule	priority	SUPPLIED_BASE	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	39	rule	priority	SUPPLIED_BASE	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	43	rule	priority	SUPPLIED_BASE	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	47	endmodule	-	SUPPLIED_BASE	endmodule
reference-semantics/semantics/builtins.k	3	module	-	SUPPLIED_BASE	module MPY-BUILTINS
reference-semantics/semantics/builtins.k	4	imports	-	SUPPLIED_BASE	imports MPY-CORE
reference-semantics/semantics/builtins.k	5	imports	-	SUPPLIED_BASE	imports MPY-STR
reference-semantics/semantics/builtins.k	6	imports	-	SUPPLIED_BASE	imports MPY-SET
reference-semantics/semantics/builtins.k	7	imports	-	SUPPLIED_BASE	imports MPY-ITER
reference-semantics/semantics/builtins.k	8	imports	-	SUPPLIED_BASE	imports MPY-RANGE
