id	file	start	end	kind	attributes	target_relevance	disposition	source
K0001	semantics.k	34	34	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/syntax.k"
K0002	semantics.k	35	35	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/core.k"
K0003	semantics.k	36	36	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/iter.k"
K0004	semantics.k	37	37	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/range.k"
K0005	semantics.k	38	38	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/operators.k"
K0006	semantics.k	39	39	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/int.k"
K0007	semantics.k	40	40	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/bool.k"
K0008	semantics.k	41	41	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/float.k"
K0009	semantics.k	42	42	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/str.k"
K0010	semantics.k	43	43	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/set.k"
K0011	semantics.k	44	44	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/list.k"
K0012	semantics.k	45	45	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/tuple.k"
K0013	semantics.k	46	46	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/subscript.k"
K0014	semantics.k	47	47	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/comprehension.k"
K0015	semantics.k	48	48	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/methods.k"
K0016	semantics.k	49	49	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/controls.k"
K0017	semantics.k	50	50	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/functions.k"
K0018	semantics.k	51	51	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/builtins.k"
K0019	semantics.k	52	52	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/call.k"
K0020	semantics.k	53	53	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/sort.k"
K0021	semantics.k	54	54	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/assert.k"
K0022	semantics.k	55	55	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/dict.k"
K0023	semantics.k	56	56	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "semantics/concrete.k"
K0024	semantics.k	58	58	module	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	module MPY
K0025	semantics.k	59	59	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CORE
K0026	semantics.k	60	60	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-ITER
K0027	semantics.k	61	61	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-RANGE
K0028	semantics.k	62	62	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-OPERATORS
K0029	semantics.k	63	63	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-INT
K0030	semantics.k	64	64	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-BOOL
K0031	semantics.k	65	65	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-FLOAT
K0032	semantics.k	66	66	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-STR
K0033	semantics.k	67	67	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-SET
K0034	semantics.k	68	68	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-LIST
K0035	semantics.k	69	69	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-TUPLE
K0036	semantics.k	70	70	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-SUBSCRIPT
K0037	semantics.k	71	71	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-COMPREHENSION
K0038	semantics.k	72	72	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-METHODS
K0039	semantics.k	73	73	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CONTROLS
K0040	semantics.k	74	74	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-FUNCTIONS
K0041	semantics.k	75	75	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-BUILTINS
K0042	semantics.k	76	76	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CALL
K0043	semantics.k	77	77	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-SORT
K0044	semantics.k	78	78	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-ASSERT
K0045	semantics.k	79	79	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-DICT
K0046	semantics.k	80	86	endmodule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	endmodule // The krun (llvm) main module: MPY plus the concrete-only legs (keyed sort's // real key calls, deep list equality). Verification builds import MPY and // never see MPY-CONCRETE. The llvm kompile MUST use --main-module MPY-KRUN — // with plain MPY the concrete legs are silently absent (this was live for a // while: sorted-key stuck and comprehension asserted wrong under krun).
K0047	semantics.k	87	87	module	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	module MPY-KRUN
K0048	semantics.k	88	88	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY
K0049	semantics.k	89	89	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CONCRETE
K0050	semantics.k	90	90	endmodule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	endmodule
K0051	semantics/assert.k	3	3	module	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	module MPY-ASSERT
K0052	semantics/assert.k	4	4	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports MPY-CORE
K0053	semantics/assert.k	6	7	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0054	semantics/assert.k	8	11	rule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
