file	line	kind	class	attributes	text	on_solution_execution_slice	disposition	audit_rationale
reference-semantics/semantics/assert.k	3	module			module MPY-ASSERT	false	FIXED_DECLARATION_ACCEPTED	Byte-identical selected supplied-semantics declaration/import.
reference-semantics/semantics/assert.k	4	imports			imports MPY-CORE	false	FIXED_DECLARATION_ACCEPTED	Byte-identical selected supplied-semantics declaration/import.
reference-semantics/semantics/assert.k	6	rule	operational		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	false	FIXED_RULE_NOT_REACHED	Byte-identical supplied-semantics rule for a construct or value form absent from solution.mpy; it is not a candidate proof extension and cannot contribute to this claim's closure.
reference-semantics/semantics/assert.k	8	rule	operational		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	false	FIXED_RULE_NOT_REACHED	Byte-identical supplied-semantics rule for a construct or value form absent from solution.mpy; it is not a candidate proof extension and cannot contribute to this claim's closure.
reference-semantics/semantics/assert.k	13	rule	operational	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	false	FIXED_RULE_NOT_REACHED	Byte-identical supplied-semantics rule for a construct or value form absent from solution.mpy; it is not a candidate proof extension and cannot contribute to this claim's closure.
reference-semantics/semantics/assert.k	16	endmodule			endmodule	false	FIXED_DECLARATION_ACCEPTED	Byte-identical selected supplied-semantics declaration/import.
reference-semantics/semantics/bool.k	5	module			module MPY-BOOL	false	FIXED_DECLARATION_ACCEPTED	Byte-identical selected supplied-semantics declaration/import.
reference-semantics/semantics/bool.k	6	imports			imports MPY-CORE	false	FIXED_DECLARATION_ACCEPTED	Byte-identical selected supplied-semantics declaration/import.
reference-semantics/semantics/bool.k	8	rule	equational		"rule applyUn(""not"", V:Val) => notBool truthy(V)"	false	FIXED_RULE_NOT_REACHED	Byte-identical supplied-semantics rule for a construct or value form absent from solution.mpy; it is not a candidate proof extension and cannot contribute to this claim's closure.
reference-semantics/semantics/bool.k	10	rule	equational		"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	false	FIXED_RULE_NOT_REACHED	Byte-identical supplied-semantics rule for a construct or value form absent from solution.mpy; it is not a candidate proof extension and cannot contribute to this claim's closure.
