$ python3 /audit-output/evidence/differential_test.py
CASE index=0 n=1 m=5 canonical=('return', 'str', '0b11') candidate=('return', 'str', '0b11')
CASE index=1 n=7 m=5 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=2 n=10 m=20 canonical=('return', 'str', '0b1111') candidate=('return', 'str', '0b1111')
CASE index=3 n=20 m=33 canonical=('return', 'str', '0b11010') candidate=('return', 'str', '0b11010')
CASE index=4 n=1 m=1 canonical=('return', 'str', '0b1') candidate=('return', 'str', '0b1')
CASE index=5 n=2 m=1 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=6 n=2 m=2 canonical=('return', 'str', '0b10') candidate=('return', 'str', '0b10')
CASE index=7 n=1 m=2 canonical=('return', 'str', '0b10') candidate=('return', 'str', '0b10')
CASE index=8 n=2 m=3 canonical=('return', 'str', '0b10') candidate=('return', 'str', '0b10')
CASE index=9 n=3 m=4 canonical=('return', 'str', '0b100') candidate=('return', 'str', '0b100')
CASE index=10 n=4 m=5 canonical=('return', 'str', '0b100') candidate=('return', 'str', '0b100')
CASE index=11 n=1 m=100 canonical=('return', 'str', '0b110010') candidate=('return', 'str', '0b110010')
CASE index=12 n=100 m=1 canonical=('return', 'int', -1) candidate=('return', 'int', -1)
CASE index=13 n=9007199254740991 m=9007199254740991 canonical=('return', 'str', '0b11111111111111111111111111111111111111111111111111111') candidate=('return', 'str', '0b11111111111111111111111111111111111111111111111111111')
CASE index=14 n=9007199254740992 m=9007199254740992 canonical=('return', 'str', '0b100000000000000000000000000000000000000000000000000000') candidate=('return', 'str', '0b100000000000000000000000000000000000000000000000000000')
CASE index=15 n=9007199254740993 m=9007199254740993 canonical=('return', 'str', '0b100000000000000000000000000000000000000000000000000000') candidate=('return', 'str', '0b100000000000000000000000000000000000000000000000000000')
CASE index=16 n=9007199254740995 m=9007199254740995 canonical=('return', 'str', '0b100000000000000000000000000000000000000000000000000100') candidate=('return', 'str', '0b100000000000000000000000000000000000000000000000000100')
