Script started on 2026-07-26 16:04:12-05:00 [<not executed on terminal>]
+ python3 /audit-output/evidence/rule_inventory.py
# Exhaustive K declaration and rule inventory

Sources: trusted supplied semantics tree, candidate verification.k, candidate spec.k.
files=26 records=931
kind_counts=claim:1,configuration:1,context:5,rule:696,syntax:228

| ID | source | kind | attributes | proof-slice assessment | declaration/rule |
|---:|---|---|---|---|---|
| 1 | `semantics/assert.k:6` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)` |
| 2 | `semantics/assert.k:8` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)` |
| 3 | `semantics/assert.k:13` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H &#124;-> V:Val ... </heap> [priority(40)]` |
| 4 | `semantics/bool.k:8` | rule | - | UNUSED/INERT for submitted proof term | `rule applyUn("not", V:Val) => notBool truthy(V)` |
| 5 | `semantics/bool.k:10` | rule | - | UNUSED/INERT for submitted proof term | `rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2` |
| 6 | `semantics/bool.k:11` | rule | - | UNUSED/INERT for submitted proof term | `rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2` |
| 7 | `semantics/bool.k:16` | context | - | UNUSED/INERT for submitted proof term | `context BoolOp(_, (HOLE:Expr, _:Exprs))` |
| 8 | `semantics/bool.k:17` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>` |
| 9 | `semantics/bool.k:18` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)` |
| 10 | `semantics/bool.k:20` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)` |
| 11 | `semantics/bool.k:22` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)` |
| 12 | `semantics/bool.k:24` | rule | - | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)` |
| 13 | `semantics/bool.k:29` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]` |
| 14 | `semantics/bool.k:31` | rule | priority | UNUSED/INERT for submitted proof term | `rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H &#124;-> V:Val ... </heap> requires truthy(V) [priority(40)]` |
