file	line	kind	attributes	decision	rationale	statement
/reference/reference-semantics/semantics/assert.k	6	rule		FIXED_UNUSED_ASSERT_ORACLE	Assert does not occur in solution.mpy or any positive claim.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
/reference/reference-semantics/semantics/assert.k	8	rule		FIXED_UNUSED_ASSERT_ORACLE	Assert does not occur in solution.mpy or any positive claim.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
/reference/reference-semantics/semantics/assert.k	13	rule	priority(40)	FIXED_UNUSED_ASSERT_ORACLE	Assert does not occur in solution.mpy or any positive claim.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/reference/reference-semantics/semantics/bool.k	8	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	10	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
/reference/reference-semantics/semantics/bool.k	11	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
/reference/reference-semantics/semantics/bool.k	16	context		FIXED_DECLARATION_UNUSED	Byte-identical supplied-semantics declaration; not reached by the submitted program.	context BoolOp(_, (HOLE:Expr, _:Exprs))
/reference/reference-semantics/semantics/bool.k	17	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/reference/reference-semantics/semantics/bool.k	18	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
/reference/reference-semantics/semantics/bool.k	20	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	22	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
/reference/reference-semantics/semantics/bool.k	24	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	29	rule	priority(40)	FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/reference/reference-semantics/semantics/bool.k	31	rule	priority(40)	FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/bool.k	35	rule	priority(40)	FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/bool.k	39	rule	priority(40)	FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/bool.k	43	rule	priority(40)	FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/builtins.k	17	syntax	function	FIXED_DECLARATION_UNUSED	Byte-identical supplied-semantics declaration; not reached by the submitted program.	syntax Val ::= applyBuiltin(String, Vals) [function]
/reference/reference-semantics/semantics/builtins.k	20	syntax	function	FIXED_DECLARATION_UNUSED	Byte-identical supplied-semantics declaration; not reached by the submitted program.	syntax Int ::= seqLen(Val) [function]
/reference/reference-semantics/semantics/builtins.k	21	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
/reference/reference-semantics/semantics/builtins.k	22	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
/reference/reference-semantics/semantics/builtins.k	23	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
/reference/reference-semantics/semantics/builtins.k	24	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
/reference/reference-semantics/semantics/builtins.k	25	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
/reference/reference-semantics/semantics/builtins.k	26	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
/reference/reference-semantics/semantics/builtins.k	32	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
/reference/reference-semantics/semantics/builtins.k	33	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
/reference/reference-semantics/semantics/builtins.k	34	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
/reference/reference-semantics/semantics/builtins.k	35	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
/reference/reference-semantics/semantics/builtins.k	36	syntax	function, total	FIXED_DECLARATION_UNUSED	Byte-identical supplied-semantics declaration; not reached by the submitted program.	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/reference/reference-semantics/semantics/builtins.k	37	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule charsOf(.IntSeq)                => .ValSeq
/reference/reference-semantics/semantics/builtins.k	38	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
/reference/reference-semantics/semantics/builtins.k	41	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
/reference/reference-semantics/semantics/builtins.k	44	rule		FIXED_USED_REVIEWED_VALID	Operational/equational rule on the submitted path; guards, control, and state footprint agree with the supplied subset.	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
/reference/reference-semantics/semantics/builtins.k	47	syntax		FIXED_DECLARATION_UNUSED	Byte-identical supplied-semantics declaration; not reached by the submitted program.	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/reference/reference-semantics/semantics/builtins.k	48	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/reference/reference-semantics/semantics/builtins.k	49	rule		FIXED_UNUSED_BY_PROGRAM	Byte-identical supplied rule; construct is not reached by solution.mpy or the entry claims.	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
