cwd: /audit-output
command: bash -lc python3\ /audit-output/evidence/k_rule_inventory.py\ \>\ /audit-output/evidence/k-rule-inventory.tsv\;\ inventory_status=\$\?\;\ echo\ \"inventory_status=\$inventory_status\"\;\ if\ test\ \"\$inventory_status\"\ -ne\ 0\;\ then\ exit\ \"\$inventory_status\"\;\ fi\;\ wc\ -l\ /audit-output/evidence/k-rule-inventory.tsv\;\ awk\ -F\ \"\\t\"\ \"NR\ \>\ 1\ \{\ kind\[\\\$4\]++\;\ disp\[\\\$7\]++\;\ file\[\\\$2\]++\ \}\ END\ \{\ for\ \(k\ in\ kind\)\ print\ \\\"kind\\\"\,\ k\,\ kind\[k\]\;\ for\ \(d\ in\ disp\)\ print\ \\\"disposition\\\"\,\ d\,\ disp\[d\]\;\ for\ \(f\ in\ file\)\ print\ \\\"file\\\"\,\ f\,\ file\[f\]\ \}\"\ /audit-output/evidence/k-rule-inventory.tsv\ \|\ sort
inventory_status=0
1117 /audit-output/evidence/k-rule-inventory.tsv
disposition EXACT_AST_ROUTE 1
disposition RESULT_CONSTRAINING 1
disposition REVIEWED 17
disposition SELECTED_SEMANTICS_BOUNDARY 928
disposition SOUND_ON_GUARD_BUT_NO_CONNECTION_CLAIM 1
disposition STRUCTURAL 167
disposition UNSOUND_STATE_FOOTPRINT 1
file reference-semantics/semantics.k 50
file reference-semantics/semantics/assert.k 6
file reference-semantics/semantics/bool.k 17
file reference-semantics/semantics/builtins.k 184
file reference-semantics/semantics/call.k 29
file reference-semantics/semantics/comprehension.k 17
file reference-semantics/semantics/concrete.k 24
file reference-semantics/semantics/controls.k 42
file reference-semantics/semantics/core.k 93
file reference-semantics/semantics/dict.k 46
file reference-semantics/semantics/float.k 160
file reference-semantics/semantics/functions.k 22
file reference-semantics/semantics/int.k 20
file reference-semantics/semantics/iter.k 4
file reference-semantics/semantics/list.k 37
file reference-semantics/semantics/methods.k 108
file reference-semantics/semantics/operators.k 16
file reference-semantics/semantics/range.k 12
file reference-semantics/semantics/set.k 21
file reference-semantics/semantics/sort.k 29
file reference-semantics/semantics/str.k 37
file reference-semantics/semantics/subscript.k 60
file reference-semantics/semantics/syntax.k 22
file reference-semantics/semantics/tuple.k 31
file spec.k 5
file verification.k 24
kind claim 1
kind configuration 1
kind context 5
kind endmodule 27
kind imports 88
kind module 27
kind requires 25
kind rule 711
kind syntax 231

exit_status: 0
