COMMAND: python3 /audit-output/evidence/classify_k_inventory.py /tmp/audit-work/candidate/reference-semantics/semantics.k /tmp/audit-work/candidate/reference-semantics/semantics /tmp/audit-work/candidate/verification.k /tmp/audit-work/candidate/spec.k
DECISION_COUNTS
ACCEPT_EXACT_PROGRAM_MACRO	8
ACCEPT_ITERATOR_ABSTRACTION	2
ACCEPT_PROOF_LOCAL_DECLARATION	7
ACCEPT_RESULT_SUMMARY	1
ACCEPT_RESULT_SUMMARY_EQUATION	8
ACCEPT_SUPPLIED_DISJOINT	601
ACCEPT_SUPPLIED_OPAQUE_INERT	25
ACCEPT_SUPPLIED_RELEVANT	281
ACCEPT_SUPPLIED_RUNTIME_ONLY	21
ACCEPT_VALIDATED_OPERATIONAL_LEMMA	1
ACCEPT_WITH_INERT_UNDERDEFINITION	2
TARGET_CLAIM	2
TOTAL_DECIDED	959

ID	SOURCE	KIND	ATTRS	DECISION	RATIONALE	DECLARATION
0001	/tmp/audit-work/candidate/reference-semantics/semantics/assert.k:6	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> Assert(V:Val) => .K ... </k>
0002	/tmp/audit-work/candidate/reference-semantics/semantics/assert.k:8	rule	operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> Assert(V:Val) ~> _ => .K </k>
0003	/tmp/audit-work/candidate/reference-semantics/semantics/assert.k:13	rule	priority,operational	ACCEPT_SUPPLIED_DISJOINT	inspected supplied rule; its syntax/guards are disjoint from every submitted-program execution term	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
0004	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:8	rule	equational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule applyUn("not", V:Val) => notBool truthy(V)
0005	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:10	rule	equational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
0006	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:11	rule	equational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
0007	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:16	context	-	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	context BoolOp(_, (HOLE:Expr, _:Exprs))
0008	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:17	rule	operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
0009	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:18	rule	operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
0010	/tmp/audit-work/candidate/reference-semantics/semantics/bool.k:20	rule	operational	ACCEPT_SUPPLIED_RELEVANT	inspected supplied rule; patterns, evaluation order, and state effects match the used construct	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
