id	file	line	module	kind	category	attributes	opaque	disposition	text	audit_assessment	audit_rationale
K0001	/tmp/audit-work/reconstruction/reference-semantics/semantics/assert.k	6	MPY-ASSERT	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> Assert(V:Val) => .K ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0002	/tmp/audit-work/reconstruction/reference-semantics/semantics/assert.k	8	MPY-ASSERT	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0003	/tmp/audit-work/reconstruction/reference-semantics/semantics/assert.k	13	MPY-ASSERT	rule	operational-rule	priority	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0004	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	8	MPY-BOOL	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0005	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	10	MPY-BOOL	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0006	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	11	MPY-BOOL	rule	equational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0007	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	16	MPY-BOOL	context	evaluation-context	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	context BoolOp(_, (HOLE:Expr, _:Exprs))	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0008	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	17	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0009	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	18	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
K0010	/tmp/audit-work/reconstruction/reference-semantics/semantics/bool.k	20	MPY-BOOL	rule	operational-rule	-	no	SUPPLIED_SEMANTICS_REVIEW_REQUIRED	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"	FIXED_RULE_NOT_REACHED_NO_MATERIAL_DEFECT	Exact supplied-semantics rule reviewed for overlap with the solution constructors; its LHS cannot arise on this program path. No false-conclusion witness affecting the intended-domain theorem.
