source	line	module	category	flags	used_term_hits	code	text	decision	reason
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	34		requires			"requires ""semantics/syntax.k"""	"requires ""semantics/syntax.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	35		requires			"requires ""semantics/core.k"""	"requires ""semantics/core.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	36		requires			"requires ""semantics/iter.k"""	"requires ""semantics/iter.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	37		requires			"requires ""semantics/range.k"""	"requires ""semantics/range.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	38		requires			"requires ""semantics/operators.k"""	"requires ""semantics/operators.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	39		requires			"requires ""semantics/int.k"""	"requires ""semantics/int.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	40		requires			"requires ""semantics/bool.k"""	"requires ""semantics/bool.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	41		requires			"requires ""semantics/float.k"""	"requires ""semantics/float.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	42		requires			"requires ""semantics/str.k"""	"requires ""semantics/str.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	43		requires			"requires ""semantics/set.k"""	"requires ""semantics/set.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	44		requires			"requires ""semantics/list.k"""	"requires ""semantics/list.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	45		requires			"requires ""semantics/tuple.k"""	"requires ""semantics/tuple.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	46		requires			"requires ""semantics/subscript.k"""	"requires ""semantics/subscript.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	47		requires			"requires ""semantics/comprehension.k"""	"requires ""semantics/comprehension.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
/tmp/audit-work/reconstruction/reference-semantics/semantics.k	48		requires			"requires ""semantics/methods.k"""	"requires ""semantics/methods.k"""	FIXED_MODEL_STRUCTURAL	structural module/import/guard item; no standalone result rewrite
