id	source_class	file	start_line	end_line	kind	role	attributes	text	target_relevance	decision	audit_rationale
1	supplied_semantics	reference-semantics/semantics/assert.k	6	6	rule	ordinary_rule	-	rule <k> Assert(V:Val) => .K ... </k>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
2	supplied_semantics	reference-semantics/semantics/assert.k	8	10	rule	ordinary_rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
3	supplied_semantics	reference-semantics/semantics/assert.k	13	15	rule	priority_rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
4	supplied_semantics	reference-semantics/semantics/bool.k	8	9	rule	ordinary_rule	-	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
5	supplied_semantics	reference-semantics/semantics/bool.k	10	10	rule	ordinary_rule	-	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
6	supplied_semantics	reference-semantics/semantics/bool.k	11	16	rule	ordinary_rule	-	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
7	supplied_semantics	reference-semantics/semantics/bool.k	17	17	rule	ordinary_rule	-	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I)	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
8	supplied_semantics	reference-semantics/semantics/bool.k	19	19	rule	ordinary_rule	-	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
9	supplied_semantics	reference-semantics/semantics/bool.k	21	21	rule	ordinary_rule	-	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
10	supplied_semantics	reference-semantics/semantics/bool.k	27	27	context	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))	unreachable	SUPPLIED_UNUSED	Read-only supplied declaration/rule; constructor/KLabel is absent from the macro-expanded target and from all target summaries.
