id	source_class	file	start_line	end_line	kind	role	attributes	text
1	supplied_semantics	reference-semantics/semantics/assert.k	6	6	rule	ordinary_rule	-	rule <k> Assert(V:Val) => .K ... </k>
2	supplied_semantics	reference-semantics/semantics/assert.k	8	10	rule	ordinary_rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
3	supplied_semantics	reference-semantics/semantics/assert.k	13	15	rule	priority_rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	supplied_semantics	reference-semantics/semantics/bool.k	8	9	rule	ordinary_rule	-	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	supplied_semantics	reference-semantics/semantics/bool.k	10	10	rule	ordinary_rule	-	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	supplied_semantics	reference-semantics/semantics/bool.k	11	16	rule	ordinary_rule	-	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	supplied_semantics	reference-semantics/semantics/bool.k	17	17	rule	ordinary_rule	-	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I)
8	supplied_semantics	reference-semantics/semantics/bool.k	19	19	rule	ordinary_rule	-	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B))
9	supplied_semantics	reference-semantics/semantics/bool.k	21	21	rule	ordinary_rule	-	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2))
10	supplied_semantics	reference-semantics/semantics/bool.k	27	27	context	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
11	supplied_semantics	reference-semantics/semantics/bool.k	28	28	rule	ordinary_rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
12	supplied_semantics	reference-semantics/semantics/bool.k	29	29	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"
13	supplied_semantics	reference-semantics/semantics/bool.k	31	31	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
14	supplied_semantics	reference-semantics/semantics/bool.k	33	33	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"
15	supplied_semantics	reference-semantics/semantics/bool.k	35	35	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"
16	supplied_semantics	reference-semantics/semantics/bool.k	40	41	rule	priority_rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
17	supplied_semantics	reference-semantics/semantics/bool.k	42	43	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"
18	supplied_semantics	reference-semantics/semantics/bool.k	46	47	rule	ordinary_rule	-	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"
19	supplied_semantics	reference-semantics/semantics/bool.k	50	51	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>"
20	supplied_semantics	reference-semantics/semantics/bool.k	54	55	rule	ordinary_rule	-	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>"
