Script started on 2026-07-31 00:49:59-05:00 [<not executed on terminal>]
zero: intToF=0 proofIntToF=0 equal=true
one: intToF=4607182418800017408 proofIntToF=4607182418800017408 equal=true
minus-one: intToF=13830554455654793216 proofIntToF=13830554455654793216 equal=true
2^53-1: intToF=4845873199050653695 proofIntToF=4845873199050653695 equal=true
2^53: intToF=4845873199050653696 proofIntToF=4845873199050653696 equal=true
2^53+1: intToF=4845873199050653696 proofIntToF=4845873199050653696 equal=true
2^53+3: intToF=4845873199050653698 proofIntToF=4845873199050653698 equal=true
-(2^53+1): intToF=14069245235905429504 proofIntToF=14069245235905429504 equal=true
2^1023: intToF=9214364837600034816 proofIntToF=9214364837600034816 equal=true
2^1024: intToF=9218868437227405312 proofIntToF=9218868437227405312 equal=true

Script done on 2026-07-31 00:49:59-05:00 [COMMAND_EXIT_CODE="0"]
