COMMAND: awk -F \\t NR\ ==\ 1\ \|\|\ \$1\ ==\ \"verification.k\"\ \|\|\ \$1\ ==\ \"spec.k\"\ \{print\} /audit-output/evidence/rule-inventory.tsv 
EXIT_STATUS: 0
OUTPUT_BEGIN
file	line	kind	flags	review_decision	source
verification.k	9	syntax	function,total,no-evaluators,symbol	ILLEGIT_RESULT_ORACLE_DECLARATION	syntax Float ::= minVF(ValSeq) [function, total, symbol(minVF), no-evaluators] | maxVF(ValSeq) [function, total, symbol(maxVF), no-evaluators]
verification.k	12	rule	priority,ordinary	UNSOUND_OPERATIONAL_RESULT_BRIDGE	"rule <k> #applyK(toCall(builtinV(""min"")), (list(VS:ValSeq), .Vals)) => minVF(VS) ... </k> [priority(40)]"
verification.k	15	rule	priority,ordinary	UNSOUND_OPERATIONAL_RESULT_BRIDGE	"rule <k> #applyK(toCall(builtinV(""max"")), (list(VS:ValSeq), .Vals)) => maxVF(VS) ... </k> [priority(40)]"
verification.k	21	syntax	function,total,symbol	NARROW_EQUATION_SOUND_TOTALITY_OVERBROAD	syntax Float ::= asFloat(Val) [function, total, symbol(asFloat)]
verification.k	22	rule	ordinary	SOUND_FLOAT_PROJECTION_EQUATION	rule asFloat(F:Float) => F
verification.k	24	syntax	function,total	SOUND_DEFINITIONAL_FLOAT_SUMMARY	syntax Float ::= scaleF(Float, Float, Float) [function, total]
verification.k	25	rule	ordinary	SOUND_DEFINITIONAL_FLOAT_SUMMARY	rule scaleF(F:Float, LO:Float, HI:Float) => divF(subF(F, LO), subF(HI, LO))
verification.k	28	syntax	function,total	SOUND_TERMINATING_LIST_SUMMARY	syntax ValSeq ::= scaleAcc(ValSeq, ValSeq, Float, Float) [function, total]
verification.k	29	rule	ordinary	SOUND_TERMINATING_LIST_SUMMARY	rule scaleAcc(ACC:ValSeq, .ValSeq, _:Float, _:Float) => ACC
verification.k	30	rule	ordinary	SOUND_TERMINATING_LIST_SUMMARY	rule scaleAcc(ACC:ValSeq, vCons(V:Val, REST:ValSeq), LO:Float, HI:Float) => scaleAcc( valSeqConcat(ACC, vCons(scaleF(asFloat(V), LO, HI), .ValSeq)), REST, LO, HI)
verification.k	37	syntax	function,total	SOUND_TERMINATING_DOMAIN_PREDICATE	syntax Bool ::= allFloats(ValSeq) [function, total]
verification.k	38	rule	ordinary	SOUND_TERMINATING_DOMAIN_PREDICATE	rule allFloats(.ValSeq) => true
verification.k	39	rule	ordinary	SOUND_TERMINATING_DOMAIN_PREDICATE	rule allFloats(vCons(V:Val, REST:ValSeq)) => isFloat(V) andBool allFloats(REST)
verification.k	44	syntax	-	SOUND_UNUSED_TYPED_GENERATOR	"syntax FloatSeq ::= "".FloatSeq"" | fCons(Float, FloatSeq)"
verification.k	45	syntax	function,total	SOUND_UNUSED_TYPED_GENERATOR	syntax ValSeq ::= injectFloats(FloatSeq) [function, total]
verification.k	46	rule	ordinary	SOUND_UNUSED_TYPED_GENERATOR	rule injectFloats(.FloatSeq) => .ValSeq
verification.k	47	rule	ordinary	SOUND_UNUSED_TYPED_GENERATOR	rule injectFloats(fCons(F:Float, REST:FloatSeq)) => vCons(F, injectFloats(REST))
