submitted_construct	declaration	fixed-semantics rules	state/control effect	proof-path observation
Module	syntax.k:61	core.k:50,124-127 loads and sequences statements	Starts full configuration and executes every top-level statement.	Not used by entry claim.
ImportFrom("typing","List")	syntax.k:43	controls.k:35-44; generic import is no-op	No state change for typing import.	Not used by entry claim because module loading is skipped.
FuncDef/Params	syntax.k:53,57	functions.k:14 stores closure in current scope	Creates parse_nested_parens binding capturing env 0.	Not used by entry claim; replaced by parseNestedParensClosure.
Assign(Name, RHS)	syntax.k:41; strict RHS	controls.k:9-18	Writes current frame after RHS evaluation.	Executed inside copied parseFunctionBody.
Name	syntax.k:12	core.k:131-157 scope-chain lookup	Reads nearest scope/builtin and dereferences declared cells where needed.	Executed inside copied body.
ListExpr()	syntax.k:17	list.k:13-15 plus core.k:117-121	Evaluates elements left-to-right, allocates heap location 0, yields ref(0).	Executed inside copied body.
Int literals	syntax.k:9	core.k:194	Yield mathematical unbounded K Int values.	Executed inside copied body.
Str literals	syntax.k:13	str.k:13-17	Converts ASCII literal to IntSeq string.	Executed inside copied body; only ASCII literals occur.
For	syntax.k:45; strict iterable	controls.k:62-74,104-108; str.k:8-10; tuple.k:31-41	Evaluates iterable once, repeatedly yields one-character strings, binds char, executes body, then continues.	Loop invariant matches #loop(str(S),Name("char"),parseLoopBody).
If	syntax.k:49; strict condition	controls.k:50-54	Uses truthy Bool and selects exactly one branch.	Executed inside copied body.
Compare/CmpOp	syntax.k:30,32; operators.k:15-17	str.k:25-26 and int.k:22-27	Evaluates left then right; string equality and integer greater-than return Bool.	Executed inside copied body.
AugAssign(Name,"+"/"-",Int)	syntax.k:44; strict RHS	controls.k:20-31; int.k:9-16	Reads and overwrites depth in current frame using integer arithmetic.	Executed inside copied body.
Expr(Call(...))	syntax.k:52; strict expression	controls.k:46-48	Evaluates call for effect and discards noneV.	Executed inside copied body.
Call/Attribute	syntax.k:28-29; Attribute strict	call.k:16,20-21,69-77; core.k:186-191	Evaluates receiver/callee, then arguments left-to-right, and dispatches through closure or bound method.	Entry uses Call on a synthetic Val constant rather than Name lookup.
list.append	syntax through Call/Attribute	list.k:52-55	In-place heap update at ref(0), returns noneV.	Executed inside copied body and reflected by loop invariant heap update.
Return(Name("result"))	syntax.k:50; strict result	functions.k:78-89	Sets retV, pops frame, restores caller env/scopeLoc, preserves escaping heap ref.	Executed inside copied body; final result and heap are constrained.
Empty Stmts	Stmts list syntax.k:56	core.k:126-127	Empty branch consumes to .K.	Used for omitted Python else branches in copied body.
