category	input_json	canonical_json	submission_json	match
documented	"(()()) ((())) () ((())()())"	[2, 3, 1, 3]	[2, 3, 1, 3]	true
empty	""	[]	[0]	false
space-only	" "	[]	[0, 0]	false
leading-space	" ()"	[1]	[0, 1]	false
trailing-space	"() "	[1]	[1, 0]	false
double-separator	"()  ()"	[1, 1]	[1, 0, 1]	false
single-open	"("	[1]	[1]	true
single-close	")"	[0]	[0]	true
unbalanced-open	"((()"	[3]	[3]	true
unbalanced-close	"()))"	[1]	[1]	true
other-character	"(x)"	[1]	[1]	true
one-level	"()"	[1]	[1]	true
nested	"(())"	[2]	[2]	true
maximum-no-update-after-close	"(())()"	[2]	[2]	true
maximum-updates-late	"()((()))"	[3]	[3]	true
siblings	"(()())"	[2]	[2]	true
three-groups	"() (()) ((()))"	[1, 2, 3]	[1, 2, 3]	true
generated-single-balanced-1..4-pairs	"()()"	[1]	[1]	true
generated-single-balanced-1..4-pairs	"((()))"	[3]	[3]	true
generated-single-balanced-1..4-pairs	"()(())"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"()()()"	[1]	[1]	true
generated-single-balanced-1..4-pairs	"(((())))"	[4]	[4]	true
generated-single-balanced-1..4-pairs	"((()()))"	[3]	[3]	true
generated-single-balanced-1..4-pairs	"((())())"	[3]	[3]	true
generated-single-balanced-1..4-pairs	"((()))()"	[3]	[3]	true
generated-single-balanced-1..4-pairs	"(()(()))"	[3]	[3]	true
generated-single-balanced-1..4-pairs	"(()()())"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"(()())()"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"(())(())"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"(())()()"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"()(()())"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"()(())()"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"()()(())"	[2]	[2]	true
generated-single-balanced-1..4-pairs	"()()()()"	[1]	[1]	true
generated-pair-single-separator-1..3-pairs	"() ()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"() (())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"() ()()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"() ((()))"	[1, 3]	[1, 3]	true
generated-pair-single-separator-1..3-pairs	"() (()())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"() (())()"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"() ()(())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"() ()()()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"(()) ()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(()) (())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()) ()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(()) ((()))"	[2, 3]	[2, 3]	true
generated-pair-single-separator-1..3-pairs	"(()) (()())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()) (())()"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()) ()(())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()) ()()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"()() ()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"()() (())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()() ()()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"()() ((()))"	[1, 3]	[1, 3]	true
generated-pair-single-separator-1..3-pairs	"()() (()())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()() (())()"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()() ()(())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()() ()()()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"((())) ()"	[3, 1]	[3, 1]	true
generated-pair-single-separator-1..3-pairs	"((())) (())"	[3, 2]	[3, 2]	true
generated-pair-single-separator-1..3-pairs	"((())) ()()"	[3, 1]	[3, 1]	true
generated-pair-single-separator-1..3-pairs	"((())) ((()))"	[3, 3]	[3, 3]	true
generated-pair-single-separator-1..3-pairs	"((())) (()())"	[3, 2]	[3, 2]	true
generated-pair-single-separator-1..3-pairs	"((())) (())()"	[3, 2]	[3, 2]	true
generated-pair-single-separator-1..3-pairs	"((())) ()(())"	[3, 2]	[3, 2]	true
generated-pair-single-separator-1..3-pairs	"((())) ()()()"	[3, 1]	[3, 1]	true
generated-pair-single-separator-1..3-pairs	"(()()) ()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(()()) (())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()()) ()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(()()) ((()))"	[2, 3]	[2, 3]	true
generated-pair-single-separator-1..3-pairs	"(()()) (()())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()()) (())()"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()()) ()(())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(()()) ()()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(())() ()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(())() (())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(())() ()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"(())() ((()))"	[2, 3]	[2, 3]	true
generated-pair-single-separator-1..3-pairs	"(())() (()())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(())() (())()"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(())() ()(())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"(())() ()()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"()(()) ()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"()(()) (())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"()(()) ()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"()(()) ((()))"	[2, 3]	[2, 3]	true
generated-pair-single-separator-1..3-pairs	"()(()) (()())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"()(()) (())()"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"()(()) ()(())"	[2, 2]	[2, 2]	true
generated-pair-single-separator-1..3-pairs	"()(()) ()()()"	[2, 1]	[2, 1]	true
generated-pair-single-separator-1..3-pairs	"()()() ()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"()()() (())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()()() ()()"	[1, 1]	[1, 1]	true
generated-pair-single-separator-1..3-pairs	"()()() ((()))"	[1, 3]	[1, 3]	true
generated-pair-single-separator-1..3-pairs	"()()() (()())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()()() (())()"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()()() ()(())"	[1, 2]	[1, 2]	true
generated-pair-single-separator-1..3-pairs	"()()() ()()()"	[1, 1]	[1, 1]	true
