# Exhaustive K source inventory
# Inputs:
#   /reference/reference-semantics/semantics.k
#   /reference/reference-semantics/semantics/assert.k
#   /reference/reference-semantics/semantics/bool.k
#   /reference/reference-semantics/semantics/builtins.k
#   /reference/reference-semantics/semantics/call.k
#   /reference/reference-semantics/semantics/comprehension.k
#   /reference/reference-semantics/semantics/concrete.k
#   /reference/reference-semantics/semantics/controls.k
#   /reference/reference-semantics/semantics/core.k
#   /reference/reference-semantics/semantics/dict.k
#   /reference/reference-semantics/semantics/float.k
#   /reference/reference-semantics/semantics/functions.k
#   /reference/reference-semantics/semantics/int.k
#   /reference/reference-semantics/semantics/iter.k
#   /reference/reference-semantics/semantics/list.k
#   /reference/reference-semantics/semantics/methods.k
#   /reference/reference-semantics/semantics/operators.k
#   /reference/reference-semantics/semantics/range.k
#   /reference/reference-semantics/semantics/set.k
#   /reference/reference-semantics/semantics/sort.k
#   /reference/reference-semantics/semantics/str.k
#   /reference/reference-semantics/semantics/subscript.k
#   /reference/reference-semantics/semantics/syntax.k
#   /reference/reference-semantics/semantics/tuple.k
#   /candidate/verification.k
#   /candidate/spec.k
# TOTAL_RECORDS=934
# KIND_COUNTS=CLAIM:4,CONFIGURATION:1,CONTEXT:5,RULE:696,SYNTAX:228
# ATTRIBUTE_COUNTS=concrete:35,function:146,macro:4,macro-rec:1,no-evaluators:22,owise:26,priority:45,seqstrict:1,strict:2,symbol:25,total:107
id	file	line	kind	attributes	declaration_or_rule
1	/reference/reference-semantics/semantics/assert.k	6	RULE	-	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	/reference/reference-semantics/semantics/assert.k	8	RULE	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	/reference/reference-semantics/semantics/assert.k	13	RULE	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
4	/reference/reference-semantics/semantics/bool.k	8	RULE	-	rule applyUn("not", V:Val) => notBool truthy(V)
5	/reference/reference-semantics/semantics/bool.k	10	RULE	-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	/reference/reference-semantics/semantics/bool.k	11	RULE	-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
7	/reference/reference-semantics/semantics/bool.k	16	CONTEXT	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	/reference/reference-semantics/semantics/bool.k	17	RULE	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	/reference/reference-semantics/semantics/bool.k	18	RULE	-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
10	/reference/reference-semantics/semantics/bool.k	20	RULE	-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
11	/reference/reference-semantics/semantics/bool.k	22	RULE	-	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
12	/reference/reference-semantics/semantics/bool.k	24	RULE	-	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
13	/reference/reference-semantics/semantics/bool.k	29	RULE	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	/reference/reference-semantics/semantics/bool.k	31	RULE	priority	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
15	/reference/reference-semantics/semantics/bool.k	35	RULE	priority	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
16	/reference/reference-semantics/semantics/bool.k	39	RULE	priority	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
17	/reference/reference-semantics/semantics/bool.k	43	RULE	priority	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)] endmodule
18	/reference/reference-semantics/semantics/builtins.k	17	SYNTAX	function	syntax Val ::= applyBuiltin(String, Vals) [function]
19	/reference/reference-semantics/semantics/builtins.k	20	SYNTAX	function	syntax Int ::= seqLen(Val) [function]
20	/reference/reference-semantics/semantics/builtins.k	21	RULE	-	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
