submitted_construct	declaration	execution_rules	proof_treatment	review_decision
Module	reference-semantics/semantics/syntax.k:61	reference-semantics/semantics/core.k:49-60,124-127	Concrete execution loads the exact submitted module; proof starts after definition with a pinned closure.	Accepted; module load has no result-bearing computation beyond binding the closure.
FuncDef	reference-semantics/semantics/syntax.k:53	reference-semantics/semantics/functions.k:14-16	Proof multiplyClosure has the identical parameter/body tokens and defining environment 0.	Accepted; body mutation makes the proof fail.
Params	reference-semantics/semantics/syntax.k:57	reference-semantics/semantics/functions.k:14-16,63-66; call.k:69-74	Submitted ("a","b") equals proof closure ("a","b"); arguments bind left-to-right.	Accepted.
Stmt-sequence	reference-semantics/semantics/syntax.k:56	reference-semantics/semantics/core.k:126-127	Executes docstring Expr, then Return.	Accepted.
Expr-statement	reference-semantics/semantics/syntax.k:52 [strict]	reference-semantics/semantics/controls.k:48	String is evaluated then discarded.	Accepted.
Str	reference-semantics/semantics/syntax.k:13	reference-semantics/semantics/str.k:13-17	ASCII docstring becomes str(IntSeq); it cannot affect the return.	Accepted.
Return	reference-semantics/semantics/syntax.k:50 [strict]	reference-semantics/semantics/functions.k:78-90	Expression evaluates before retV/pop; callee frame and continuation are restored.	Accepted.
BinOp	reference-semantics/semantics/syntax.k:15 [seqstrict(2,3)]	reference-semantics/semantics/operators.k:12; int.k:14-16,19-20	Left operand then right operand; %, %, then integer multiplication.	Accepted.
Name	reference-semantics/semantics/syntax.k:12	reference-semantics/semantics/core.k:130-154	Looks up bound a and b in fresh callee scope.	Accepted.
Int	reference-semantics/semantics/syntax.k:9	reference-semantics/semantics/core.k:194; int.k:7-27	Int(10) evaluates to K Int 10; variables are already K Int values.	Accepted.
Call	reference-semantics/semantics/syntax.k:28	reference-semantics/semantics/call.k:19-21,69-74; core.k:183-191; functions.k:62-90	Fresh #runMultiply routes to ordinary Call of the pinned closure.	Accepted; no program-operation summary/oracle.
