file	line	kind	attributes	guard	assessment	text
semantic.k	55	ordinary-semantic			module harness schedules body then exact flip_case call	"rule <k> Module(BODY) => BODY ~> #invoke(""flip_case"", strVal(ARG)) ...</k> <arg> ARG </arg>"
semantic.k	58	ordinary-semantic			left-to-right statement-list sequencing	rule <k> S:Stmt REST:Stmts => S ~> REST ...</k>
semantic.k	60	ordinary-semantic	F <- function(PARAMS, BODY)		function definition installs untranslated body	rule <k> FuncDef(F, PARAMS, BODY) => .K ...</k> <functions> FUNS => FUNS[F <- function(PARAMS, BODY)] </functions>
semantic.k	63	ordinary-semantic			selected function body executes with one argument binding	rule <k> #invoke(F, V) => BODY ~> #endCall ...</k> <functions>... F |-> function(Params(P:String), BODY) ...</functions> <env> .Map => P |-> V </env>
semantic.k	67	ordinary-semantic			return expression is evaluated before return control	rule <k> Return(E) => E ~> #return ...</k>
semantic.k	69	ordinary-semantic			environment lookup	rule <k> Name(N) => V ...</k> <env>... N |-> V ...</env>
semantic.k	72	ordinary-semantic			string literal construction	rule <k> Str(S) => strVal(S) ...</k>
semantic.k	74	ordinary-semantic			attribute receiver evaluates first	rule <k> Attribute(E, NAME) => E ~> #attribute(NAME) ...</k>
semantic.k	75	ordinary-semantic			string attribute binds name and receiver	rule <k> strVal(S) ~> #attribute(NAME) => boundStringMethod(NAME, S) ...</k>
semantic.k	78	ordinary-semantic			zero-argument callee evaluates before invocation	rule <k> Call(F, .Exprs) => F ~> #callNoArgs ...</k>
semantic.k	79	trusted-primitive-bridge			string.swapcase dispatches to defined pySwapCase	"rule <k> boundStringMethod(""swapcase"", S) ~> #callNoArgs => strVal(pySwapCase(S)) ...</k>"
semantic.k	82	ordinary-semantic			returned value ends the sole call and clears local env	rule <k> V:Value ~> #return ~> #endCall => V ...</k> <env> _ => .Map </env> // Python's str.swapcase is defined character-by-character.  pySwapChar is // supplied by the generated helper module, including every mapping (and // multi-code-point expansion) in the local CPython Unicode database.
semantic.k	91	definitional-summary			empty-string pySwapCase base case	"rule pySwapCase("""") => """""
semantic.k	92	definitional-summary			nonempty pySwapCase recurses by computed UTF-8 width	rule pySwapCase(S) => pySwapChar(substrString(S, 0, utf8CharLen(S))) +String pySwapCase( substrString(S, utf8CharLen(S), lengthString(S)))
semantic.k	101	definitional-summary			one-byte UTF-8 leading-byte case	rule utf8CharLen(S) => 1
semantic.k	103	definitional-summary			two-byte UTF-8 leading-byte case	rule utf8CharLen(S) => 2
semantic.k	106	definitional-summary			three-byte UTF-8 leading-byte case	rule utf8CharLen(S) => 3
semantic.k	109	definitional-summary			four-byte UTF-8 leading-byte case	rule utf8CharLen(S) => 4
semantic.k	112	definitional-summary	owise		owise invalid-byte fallback width one	rule utf8CharLen(_) => 1 [owise]
unicode-case.k	7	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""A"") => ""a"""
unicode-case.k	8	definitional-summary			ground CPython 3.10.12 swapcase equation; every row exhaustively checked by 05_unicode_rule_audit.py	"rule pySwapChar(""B"") => ""b"""
