COMMAND: python3 /audit-output/evidence/k_inventory.py
# item_count=1100
# kind_counts={'claim': 1, 'configuration': 1, 'context': 5, 'endmodule': 27, 'imports': 88, 'module': 27, 'requires': 25, 'rule': 697, 'syntax': 229}
# attribute_counts={'concrete': 35, 'function': 145, 'macro': 5, 'macro-rec': 1, 'no-evaluators': 22, 'owise': 26, 'priority': 45, 'seqstrict': 1, 'strict': 2, 'total': 107}
# decision_counts={'ASSEMBLY_OR_MODULE_DECLARATION': 167, 'EXECUTED_FIXED_FRAGMENT_ACCEPTED': 55, 'OPAQUE_FIXED_PRIMITIVE_UNREACHED': 22, 'PROOF_LOCAL_ACCEPTED_EXACT_HARNESS': 4, 'TARGET_CLAIM_RESULT_CONSTRAINING': 1, 'UNREACHED_NO_INTENDED_DOMAIN_WITNESS': 851}
id	path	lines	kind	attributes	relevance	decision	declaration
K0001	reference-semantics/semantics.k	34-34	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/syntax.k"
K0002	reference-semantics/semantics.k	35-35	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/core.k"
K0003	reference-semantics/semantics.k	36-36	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/iter.k"
K0004	reference-semantics/semantics.k	37-37	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/range.k"
K0005	reference-semantics/semantics.k	38-38	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/operators.k"
K0006	reference-semantics/semantics.k	39-39	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/int.k"
K0007	reference-semantics/semantics.k	40-40	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/bool.k"
K0008	reference-semantics/semantics.k	41-41	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/float.k"
K0009	reference-semantics/semantics.k	42-42	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/str.k"
K0010	reference-semantics/semantics.k	43-43	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/set.k"
K0011	reference-semantics/semantics.k	44-44	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/list.k"
K0012	reference-semantics/semantics.k	45-45	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/tuple.k"
K0013	reference-semantics/semantics.k	46-46	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/subscript.k"
K0014	reference-semantics/semantics.k	47-47	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/comprehension.k"
K0015	reference-semantics/semantics.k	48-48	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/methods.k"
K0016	reference-semantics/semantics.k	49-49	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/controls.k"
K0017	reference-semantics/semantics.k	50-50	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/functions.k"
K0018	reference-semantics/semantics.k	51-51	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/builtins.k"
K0019	reference-semantics/semantics.k	52-52	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/call.k"
K0020	reference-semantics/semantics.k	53-53	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/sort.k"
K0021	reference-semantics/semantics.k	54-54	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/assert.k"
K0022	reference-semantics/semantics.k	55-55	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/dict.k"
K0023	reference-semantics/semantics.k	56-57	requires	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	requires "semantics/concrete.k"
K0024	reference-semantics/semantics.k	58-58	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY
K0025	reference-semantics/semantics.k	59-59	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CORE
K0026	reference-semantics/semantics.k	60-60	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-ITER
K0027	reference-semantics/semantics.k	61-61	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-RANGE
K0028	reference-semantics/semantics.k	62-62	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-OPERATORS
K0029	reference-semantics/semantics.k	63-63	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-INT
K0030	reference-semantics/semantics.k	64-64	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-BOOL
K0031	reference-semantics/semantics.k	65-65	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-FLOAT
K0032	reference-semantics/semantics.k	66-66	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-STR
K0033	reference-semantics/semantics.k	67-67	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-SET
K0034	reference-semantics/semantics.k	68-68	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-LIST
K0035	reference-semantics/semantics.k	69-69	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-TUPLE
K0036	reference-semantics/semantics.k	70-70	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-SUBSCRIPT
K0037	reference-semantics/semantics.k	71-71	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-COMPREHENSION
K0038	reference-semantics/semantics.k	72-72	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-METHODS
K0039	reference-semantics/semantics.k	73-73	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CONTROLS
K0040	reference-semantics/semantics.k	74-74	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-FUNCTIONS
K0041	reference-semantics/semantics.k	75-75	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-BUILTINS
K0042	reference-semantics/semantics.k	76-76	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CALL
K0043	reference-semantics/semantics.k	77-77	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-SORT
K0044	reference-semantics/semantics.k	78-78	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-ASSERT
K0045	reference-semantics/semantics.k	79-79	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-DICT
K0046	reference-semantics/semantics.k	80-86	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0047	reference-semantics/semantics.k	87-87	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-KRUN
K0048	reference-semantics/semantics.k	88-88	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY
K0049	reference-semantics/semantics.k	89-89	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CONCRETE
K0050	reference-semantics/semantics.k	90-90	endmodule	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	endmodule
K0051	reference-semantics/semantics/assert.k	3-3	module	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	module MPY-ASSERT
K0052	reference-semantics/semantics/assert.k	4-5	imports	-	assembly	ASSEMBLY_OR_MODULE_DECLARATION	imports MPY-CORE
K0053	reference-semantics/semantics/assert.k	6-7	rule	-	unreached	UNREACHED_NO_INTENDED_DOMAIN_WITNESS	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
