| # | span | source_rule_id | frozen rule head | protected classification | independent classification |
|---:|:---:|---|---|---|---|
| 1 | 12 | `rule-61708f547727d7aa918ad6bf8a016e92b25d1ccd0e36098b415347016593af3e` | `rule intVals(.IntSeq)` | DEFINITION | DEFINITION |
| 2 | 13 | `rule-7e02eb37b7bdf1eab6f0857a5ba0eea03ae8d443148932837b9044d248811a1f` | `rule intVals(iCons(I:Int, R:IntSeq))` | DEFINITION | DEFINITION |
| 3 | 22 | `rule-c7de3cc91957966c2e287056766b0332cf6ffdaec28c37531cbba7f11ac07a3e` | `rule intAt(.IntSeq, _:Int)` | DEFINITION | DEFINITION |
| 4 | 23 | `rule-9ef7f75c9d030faf85080705a0465550f676a8729fd89f75a4c89a89f3bef12a` | `rule intAt(iCons(I:Int, _:IntSeq), 0)` | DEFINITION | DEFINITION |
| 5 | 24-25 | `rule-3d31bba42a85cabc815659b58fc221eb876cde2e0d7fc47a65715c7303c3241e` | `rule intAt(iCons(_:Int, R:IntSeq), N:Int)` | DEFINITION | DEFINITION |
| 6 | 26-27 | `rule-d2b38b93f718eb582aeb8e703070db02855786b254179f53ff3ab14e72a536b2` | `rule intAt(iCons(_:Int, _:IntSeq), N:Int)` | DEFINITION | DEFINITION |
| 7 | 31 | `rule-041ae6f97e0a64393d4fd3489adb8b7922f6bdd833dd98ec4a40214de3ea0864` | `rule vsLen(intVals(IS:IntSeq))` | DOMAIN_LEMMA | DOMAIN_LEMMA |
| 8 | 32-34 | `rule-02406fd68a82c2913a2b54042cfc3145ed95db3409554a09fc0a8d1b6cf799f4` | `rule valSeqAt(intVals(IS:IntSeq), I:Int)` | DOMAIN_LEMMA | DOMAIN_LEMMA |
| 9 | 42-47 | `rule-8f1610587bf737bb5c54e86924e2f79f4154ac8465370be0992a66f42cb7a719` | `rule thirdFrom(IS:IntSeq, I:Int, J:Int, K:Int)` | DEFINITION | DEFINITION |
| 10 | 48-53 | `rule-53814ea661857cebfa97d9521b74aa3d0d06bf9a18be90ed9136b73d50641cd7` | `rule thirdFrom(IS:IntSeq, I:Int, J:Int, K:Int)` | DEFINITION | DEFINITION |
| 11 | 54-61 | `rule-c40b0ddfed4444541b0c697e601553b83229e5a57efc9520c0a7a60e7e9e598c` | `rule thirdFrom(IS:IntSeq, I:Int, J:Int, K:Int)` | DEFINITION | DEFINITION |
| 12 | 63-66 | `rule-f626c317007e738e3dac4aa639bdbb0a088030a45776e00d26ac958a4eabf70b` | `rule pairFrom(IS:IntSeq, I:Int, J:Int)` | DEFINITION | DEFINITION |
| 13 | 67-70 | `rule-52c3edb1912d9dd6bc594873c21b975e82d063a40d91fe661425871625b0ccd7` | `rule pairFrom(IS:IntSeq, I:Int, J:Int)` | DEFINITION | DEFINITION |
| 14 | 71-76 | `rule-269487dea660700294e0df9c985efaac434cad9dd4842aa465dda12446bc0e07` | `rule pairFrom(IS:IntSeq, I:Int, J:Int)` | DEFINITION | DEFINITION |
| 15 | 78-79 | `rule-e84b342b33053ff679a2bcde5a77bdde8bac77a1efd7f264e2cc1d6b73b4240e` | `rule tripleFrom(_:IntSeq, I:Int)` | DEFINITION | DEFINITION |
| 16 | 80-81 | `rule-7412da7fc80943dd934d7428207728ea3034e9abc66648c8a2e4a629f5a64a17` | `rule tripleFrom(IS:IntSeq, I:Int)` | DEFINITION | DEFINITION |
| 17 | 82-85 | `rule-b0e6db4c2b5c2d64dee44292ac1b60d8017b8066600da7a1de8fd3bb5df362d4` | `rule tripleFrom(IS:IntSeq, I:Int)` | DEFINITION | DEFINITION |
| 18 | 96-99 | `rule-3715cb2d6de855e8f0d56c8731dcd44dcb31e91cf93fe184d935ef3cdbd09d4a` | `rule innerCond()` | DEFINITION | DEFINITION |
| 19 | 101-115 | `rule-872df4534b8344655a82e1ce75ddbff255f4e95cbd683ef7e5ca4c99a14603db` | `rule innerBody()` | DEFINITION | DEFINITION |
| 20 | 117-120 | `rule-83f913af19781dfc5d6f23b0cc85d1c4f1e5a172d3b546385471cb4ba6dee8da` | `rule middleCond()` | DEFINITION | DEFINITION |
| 21 | 122-127 | `rule-e0cb22599bc2f08ab0cfb7a81a256d9e601153f92c4fe0e1ffded66240aa242a` | `rule middleBody()` | DEFINITION | DEFINITION |
| 22 | 129-132 | `rule-c67bd09f1ea5719f1c1892236bebe19987a71a76ed6ee35acabce50477d77d23` | `rule outerCond()` | DEFINITION | DEFINITION |
| 23 | 134-139 | `rule-c00bad024d03c4fd49146aac0dfb46f478cc8147c36ea7975399490f50973258` | `rule outerBody()` | DEFINITION | DEFINITION |
| 24 | 141-148 | `rule-46f0e67cc5409babed23b00e43574465e039e224789f6567cbe7e9a3b542ee1f` | `rule programBody()` | DEFINITION | DEFINITION |
| 25 | 151-152 | `rule-10f2f341850e5b1dba882c01e51fc736628d8ea0e733d0c07c0b4339cf0816ec` | `rule triplesClosure()` | DEFINITION | DEFINITION |
| 26 | 155-156 | `rule-5e0fb0ffad7ca37fbc4b92a80ab74a3d7facd687e939787910a1f2e6c53ccf2c` | `rule solutionBindings()` | DEFINITION | DEFINITION |

ordered identity match: True
canonical inventory sha256: f14289f2f89f2d52117ca7ad185617a5fe6323e4f4b762382a75f2808399ca6a
protected inventory sha256: f14289f2f89f2d52117ca7ad185617a5fe6323e4f4b762382a75f2808399ca6a
