Script started on 2026-07-26 00:16:35-05:00 [<not executed on terminal>]
id	file	lines	kind	function	total	functional	opaque_no_evaluators	priority	simplification	concrete	owise	macro	disposition	source
1	semantics.k	34-34	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/syntax.k"
2	semantics.k	35-35	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/core.k"
3	semantics.k	36-36	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/iter.k"
4	semantics.k	37-37	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/range.k"
5	semantics.k	38-38	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/operators.k"
6	semantics.k	39-39	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/int.k"
7	semantics.k	40-40	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/bool.k"
8	semantics.k	41-41	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/float.k"
9	semantics.k	42-42	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/str.k"
10	semantics.k	43-43	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/set.k"
11	semantics.k	44-44	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/list.k"
12	semantics.k	45-45	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/tuple.k"
13	semantics.k	46-46	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/subscript.k"
14	semantics.k	47-47	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/comprehension.k"
15	semantics.k	48-48	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/methods.k"
16	semantics.k	49-49	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/controls.k"
17	semantics.k	50-50	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/functions.k"
18	semantics.k	51-51	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/builtins.k"
19	semantics.k	52-52	requires	false	false	false	false	false	false	false	false	false	FIXED_SUPPLIED_ASSEMBLY	requires "semantics/call.k"
