WORKDIR: /tmp/audit-work/72-will-it-fly
COMMAND: find /audit-output/evidence -maxdepth 1 -type f -printf %f\ %s\ bytes\\n
EXIT_STATUS: 0
OUTPUT_LINES: 45
--- OUTPUT (bounded) ---
stage3-kprove-example-unbalanced.log 228 bytes
stage3-krun-run-negative-weight-equality.log 207 bytes
run-nonpalindrome.mpy 428 bytes
run-negative-weight-equality.mpy 439 bytes
stage4-witnesses.log 620 bytes
stage3-kompile-concrete.log 239 bytes
stage3-kprove-example-overweight.log 228 bytes
verification-body-mutated.k 1100 bytes
run-palindrome-normal.mpy 437 bytes
capture-command.sh 867 bytes
stage3-krun-run-empty-equality.log 197 bytes
stage4-body-mutation-kompile.log 279 bytes
stage5-source-inventory.log 5184 bytes
stage3-krun-run-empty-overweight.log 200 bytes
stage2-mpy-byte-identity.log 150 bytes
run-empty-equality.mpy 410 bytes
stage3-kompile-proof.log 246 bytes
stage6-vacuity-dry-run.log 594 bytes
stage3-kprove-example-singleton.log 227 bytes
stage3-krun-run-palindrome-normal.log 200 bytes
stage3-krun-solution.log 185 bytes
stage1-integrity.log 7436 bytes
run-empty-overweight.mpy 411 bytes
stage6-vacuity-kprove.log 705 bytes
stage3-kprove-universal.log 219 bytes
stage4_witnesses.py 1294 bytes
differential_test.py 2891 bytes
stage3-krun-run-negative-mixed-overweight.log 209 bytes
python_semantic_cases.py 849 bytes
stage1_integrity.sh 2033 bytes
spec-vacuity.k 367 bytes
stage3-kprove-example-balanced.log 226 bytes
run-negative-mixed-overweight.mpy 439 bytes
stage5-rule-inventory.md 7677 bytes
stage2-differential.log 466 bytes
stage2-trusted-copy-hashes.log 671 bytes
stage7-source-copy-hashes.log 1428 bytes
stage4-pinning.log 349 bytes
stage4_pinning_check.sh 624 bytes
stage2-regenerate-mpy.log 184 bytes
stage7-evidence-inventory.log 122 bytes
spec-body-mutated.k 323 bytes
stage3-python-semantic-oracle.log 449 bytes
stage3-krun-run-nonpalindrome.log 197 bytes
stage4-body-mutation-kprove.log 1160 bytes
