+ command: python3 /audit-output/evidence/02_generation_trace_summary.py
line=1 outer=session_meta payload=<missing> timestamp=2026-07-25T07:26:36.138Z
line=2 outer=event_msg payload=task_started timestamp=2026-07-25T07:26:36.138Z
line=3 outer=response_item payload=message timestamp=2026-07-25T07:26:38.241Z
line=4 outer=response_item payload=message timestamp=2026-07-25T07:26:38.241Z
line=5 outer=response_item payload=message timestamp=2026-07-25T07:26:38.241Z
line=6 outer=response_item payload=message timestamp=2026-07-25T07:26:38.241Z
line=7 outer=world_state payload=<missing> timestamp=2026-07-25T07:26:38.242Z
line=8 outer=turn_context payload=<missing> timestamp=2026-07-25T07:26:38.242Z
line=9 outer=response_item payload=message timestamp=2026-07-25T07:26:38.245Z
line=10 outer=event_msg payload=user_message timestamp=2026-07-25T07:26:38.245Z
line=11 outer=response_item payload=reasoning timestamp=2026-07-25T07:26:39.875Z
line=12 outer=event_msg payload=agent_message timestamp=2026-07-25T07:26:40.915Z
line=13 outer=response_item payload=message timestamp=2026-07-25T07:26:40.915Z
line=14 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:26:42.017Z
line=15 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:26:42.100Z
line=16 outer=event_msg payload=token_count timestamp=2026-07-25T07:26:42.101Z
line=17 outer=response_item payload=reasoning timestamp=2026-07-25T07:26:45.787Z
line=18 outer=event_msg payload=agent_message timestamp=2026-07-25T07:26:47.297Z
line=19 outer=response_item payload=message timestamp=2026-07-25T07:26:47.299Z
line=20 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:26:50.294Z
line=21 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:26:50.397Z
line=22 outer=event_msg payload=token_count timestamp=2026-07-25T07:26:50.397Z
line=23 outer=response_item payload=reasoning timestamp=2026-07-25T07:26:52.837Z
line=24 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:26:54.510Z
line=25 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:26:54.640Z
line=26 outer=event_msg payload=token_count timestamp=2026-07-25T07:26:54.640Z
line=27 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:26:57.978Z
line=28 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:26:58.122Z
line=29 outer=event_msg payload=token_count timestamp=2026-07-25T07:26:58.122Z
line=30 outer=response_item payload=reasoning timestamp=2026-07-25T07:27:01.046Z
line=31 outer=response_item payload=function_call timestamp=2026-07-25T07:27:02.738Z
line=32 outer=response_item payload=function_call_output timestamp=2026-07-25T07:27:02.753Z
line=33 outer=event_msg payload=token_count timestamp=2026-07-25T07:27:02.753Z
line=34 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:27:08.261Z
line=35 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:27:08.507Z
line=36 outer=event_msg payload=token_count timestamp=2026-07-25T07:27:08.508Z
line=37 outer=response_item payload=reasoning timestamp=2026-07-25T07:27:11.829Z
line=38 outer=event_msg payload=agent_message timestamp=2026-07-25T07:27:15.282Z
line=39 outer=response_item payload=message timestamp=2026-07-25T07:27:15.284Z
line=40 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:27:17.671Z
line=41 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:27:17.788Z
line=42 outer=event_msg payload=token_count timestamp=2026-07-25T07:27:17.789Z
line=43 outer=response_item payload=reasoning timestamp=2026-07-25T07:27:30.413Z
line=44 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:27:31.995Z
line=45 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:27:32.346Z
line=46 outer=event_msg payload=token_count timestamp=2026-07-25T07:27:32.346Z
line=47 outer=response_item payload=reasoning timestamp=2026-07-25T07:27:35.288Z
line=48 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:27:36.358Z
line=49 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:27:36.431Z
line=50 outer=event_msg payload=token_count timestamp=2026-07-25T07:27:36.431Z
line=51 outer=response_item payload=reasoning timestamp=2026-07-25T07:27:50.729Z
line=52 outer=response_item payload=reasoning timestamp=2026-07-25T07:28:05.073Z
line=53 outer=response_item payload=reasoning timestamp=2026-07-25T07:28:16.664Z
line=54 outer=response_item payload=reasoning timestamp=2026-07-25T07:28:30.898Z
line=55 outer=response_item payload=reasoning timestamp=2026-07-25T07:28:45.008Z
line=56 outer=response_item payload=reasoning timestamp=2026-07-25T07:28:51.165Z
line=57 outer=response_item payload=reasoning timestamp=2026-07-25T07:28:51.586Z
line=58 outer=event_msg payload=agent_message timestamp=2026-07-25T07:28:53.015Z
line=59 outer=response_item payload=message timestamp=2026-07-25T07:28:53.015Z
line=60 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:28:53.659Z
line=61 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:28:53.729Z
line=62 outer=event_msg payload=token_count timestamp=2026-07-25T07:28:53.729Z
line=63 outer=response_item payload=reasoning timestamp=2026-07-25T07:29:07.641Z
line=64 outer=response_item payload=reasoning timestamp=2026-07-25T07:29:23.562Z
line=65 outer=response_item payload=reasoning timestamp=2026-07-25T07:29:31.460Z
line=66 outer=event_msg payload=agent_message timestamp=2026-07-25T07:29:34.827Z
line=67 outer=response_item payload=message timestamp=2026-07-25T07:29:34.827Z
line=68 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:29:35.830Z
line=69 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:29:35.964Z
line=70 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:29:35.969Z
line=71 outer=event_msg payload=token_count timestamp=2026-07-25T07:29:35.969Z
line=72 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:29:41.725Z
line=73 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:29:41.895Z
line=74 outer=event_msg payload=token_count timestamp=2026-07-25T07:29:41.895Z
line=75 outer=response_item payload=reasoning timestamp=2026-07-25T07:29:55.529Z
line=76 outer=response_item payload=reasoning timestamp=2026-07-25T07:30:07.666Z
line=77 outer=response_item payload=reasoning timestamp=2026-07-25T07:30:16.026Z
line=78 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:30:34.076Z
line=79 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:30:34.273Z
line=80 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:30:34.276Z
line=81 outer=event_msg payload=token_count timestamp=2026-07-25T07:30:34.276Z
line=82 outer=response_item payload=reasoning timestamp=2026-07-25T07:30:38.218Z
line=83 outer=event_msg payload=agent_message timestamp=2026-07-25T07:30:40.647Z
line=84 outer=response_item payload=message timestamp=2026-07-25T07:30:40.648Z
line=85 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:30:41.148Z
line=86 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:30:42.318Z
line=87 outer=event_msg payload=token_count timestamp=2026-07-25T07:30:42.318Z
line=88 outer=response_item payload=reasoning timestamp=2026-07-25T07:30:47.159Z
line=89 outer=response_item payload=function_call timestamp=2026-07-25T07:30:47.759Z
line=90 outer=response_item payload=function_call_output timestamp=2026-07-25T07:30:47.775Z
line=91 outer=event_msg payload=token_count timestamp=2026-07-25T07:30:47.775Z
line=92 outer=response_item payload=reasoning timestamp=2026-07-25T07:30:50.787Z
line=93 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:30:52.242Z
line=94 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:30:53.412Z
line=95 outer=event_msg payload=token_count timestamp=2026-07-25T07:30:53.412Z
line=96 outer=response_item payload=reasoning timestamp=2026-07-25T07:30:57.757Z
line=97 outer=response_item payload=function_call timestamp=2026-07-25T07:30:59.169Z
line=98 outer=response_item payload=function_call_output timestamp=2026-07-25T07:30:59.185Z
line=99 outer=event_msg payload=token_count timestamp=2026-07-25T07:30:59.185Z
line=100 outer=response_item payload=reasoning timestamp=2026-07-25T07:31:11.517Z
line=101 outer=event_msg payload=agent_message timestamp=2026-07-25T07:31:13.000Z
line=102 outer=response_item payload=message timestamp=2026-07-25T07:31:13.001Z
line=103 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:31:17.373Z
line=104 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:31:17.500Z
line=105 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:31:17.502Z
line=106 outer=event_msg payload=token_count timestamp=2026-07-25T07:31:17.502Z
line=107 outer=response_item payload=reasoning timestamp=2026-07-25T07:31:19.632Z
line=108 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:31:21.025Z
line=109 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:31:22.197Z
line=110 outer=event_msg payload=token_count timestamp=2026-07-25T07:31:22.197Z
line=111 outer=response_item payload=function_call timestamp=2026-07-25T07:31:27.467Z
line=112 outer=response_item payload=function_call_output timestamp=2026-07-25T07:31:32.470Z
line=113 outer=event_msg payload=token_count timestamp=2026-07-25T07:31:32.472Z
line=114 outer=response_item payload=reasoning timestamp=2026-07-25T07:31:36.167Z
line=115 outer=response_item payload=function_call timestamp=2026-07-25T07:31:36.714Z
line=116 outer=response_item payload=function_call_output timestamp=2026-07-25T07:31:46.715Z
line=117 outer=event_msg payload=token_count timestamp=2026-07-25T07:31:46.717Z
line=118 outer=response_item payload=reasoning timestamp=2026-07-25T07:31:49.770Z
line=119 outer=response_item payload=function_call timestamp=2026-07-25T07:31:50.339Z
line=120 outer=response_item payload=function_call_output timestamp=2026-07-25T07:32:05.340Z
line=121 outer=event_msg payload=token_count timestamp=2026-07-25T07:32:05.342Z
line=122 outer=response_item payload=reasoning timestamp=2026-07-25T07:32:07.926Z
line=123 outer=event_msg payload=agent_message timestamp=2026-07-25T07:32:11.871Z
line=124 outer=response_item payload=message timestamp=2026-07-25T07:32:11.872Z
line=125 outer=response_item payload=function_call timestamp=2026-07-25T07:32:12.301Z
line=126 outer=response_item payload=function_call_output timestamp=2026-07-25T07:32:22.302Z
line=127 outer=event_msg payload=token_count timestamp=2026-07-25T07:32:22.305Z
line=128 outer=response_item payload=reasoning timestamp=2026-07-25T07:32:25.273Z
line=129 outer=response_item payload=function_call timestamp=2026-07-25T07:32:25.809Z
line=130 outer=response_item payload=function_call_output timestamp=2026-07-25T07:32:29.706Z
line=131 outer=event_msg payload=token_count timestamp=2026-07-25T07:32:29.707Z
line=132 outer=response_item payload=reasoning timestamp=2026-07-25T07:32:44.560Z
line=133 outer=response_item payload=reasoning timestamp=2026-07-25T07:32:50.660Z
line=134 outer=event_msg payload=agent_message timestamp=2026-07-25T07:32:53.245Z
line=135 outer=response_item payload=message timestamp=2026-07-25T07:32:53.245Z
line=136 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:32:56.842Z
line=137 outer=event_msg payload=patch_apply_end timestamp=2026-07-25T07:32:57.092Z
line=138 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:32:57.094Z
line=139 outer=event_msg payload=token_count timestamp=2026-07-25T07:32:57.094Z
line=140 outer=response_item payload=reasoning timestamp=2026-07-25T07:32:58.370Z
line=141 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:32:59.878Z
line=142 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:33:01.049Z
line=143 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:01.049Z
line=144 outer=response_item payload=function_call timestamp=2026-07-25T07:33:03.255Z
line=145 outer=response_item payload=function_call_output timestamp=2026-07-25T07:33:05.864Z
line=146 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:05.864Z
line=147 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:33:09.006Z
line=148 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:33:10.178Z
line=149 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:10.178Z
line=150 outer=response_item payload=function_call timestamp=2026-07-25T07:33:12.892Z
line=151 outer=response_item payload=function_call_output timestamp=2026-07-25T07:33:20.292Z
line=152 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:20.292Z
line=153 outer=response_item payload=reasoning timestamp=2026-07-25T07:33:22.050Z
line=154 outer=event_msg payload=agent_message timestamp=2026-07-25T07:33:24.748Z
line=155 outer=response_item payload=message timestamp=2026-07-25T07:33:24.748Z
line=156 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:33:25.653Z
line=157 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:33:26.824Z
line=158 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:26.824Z
line=159 outer=response_item payload=function_call timestamp=2026-07-25T07:33:28.817Z
line=160 outer=response_item payload=function_call_output timestamp=2026-07-25T07:33:38.818Z
line=161 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:38.828Z
line=162 outer=response_item payload=function_call timestamp=2026-07-25T07:33:42.200Z
line=163 outer=response_item payload=function_call_output timestamp=2026-07-25T07:33:57.201Z
line=164 outer=event_msg payload=token_count timestamp=2026-07-25T07:33:57.204Z
line=165 outer=response_item payload=reasoning timestamp=2026-07-25T07:33:59.818Z
line=166 outer=response_item payload=function_call timestamp=2026-07-25T07:34:00.349Z
line=167 outer=response_item payload=function_call_output timestamp=2026-07-25T07:34:15.350Z
line=168 outer=event_msg payload=token_count timestamp=2026-07-25T07:34:15.352Z
line=169 outer=response_item payload=reasoning timestamp=2026-07-25T07:34:17.316Z
line=170 outer=response_item payload=function_call timestamp=2026-07-25T07:34:17.867Z
line=171 outer=response_item payload=function_call_output timestamp=2026-07-25T07:34:27.868Z
line=172 outer=event_msg payload=token_count timestamp=2026-07-25T07:34:27.870Z
line=173 outer=response_item payload=reasoning timestamp=2026-07-25T07:34:29.164Z
line=174 outer=event_msg payload=agent_message timestamp=2026-07-25T07:34:31.027Z
line=175 outer=response_item payload=message timestamp=2026-07-25T07:34:31.027Z
line=176 outer=response_item payload=function_call timestamp=2026-07-25T07:34:31.375Z
line=177 outer=response_item payload=function_call_output timestamp=2026-07-25T07:34:51.376Z
line=178 outer=event_msg payload=token_count timestamp=2026-07-25T07:34:51.379Z
line=179 outer=response_item payload=reasoning timestamp=2026-07-25T07:34:56.076Z
line=180 outer=response_item payload=function_call timestamp=2026-07-25T07:34:56.647Z
line=181 outer=response_item payload=function_call_output timestamp=2026-07-25T07:35:26.650Z
line=182 outer=event_msg payload=token_count timestamp=2026-07-25T07:35:26.661Z
line=183 outer=response_item payload=reasoning timestamp=2026-07-25T07:35:28.992Z
line=184 outer=response_item payload=function_call timestamp=2026-07-25T07:35:29.966Z
line=185 outer=response_item payload=function_call_output timestamp=2026-07-25T07:35:59.967Z
line=186 outer=event_msg payload=token_count timestamp=2026-07-25T07:35:59.973Z
line=187 outer=response_item payload=reasoning timestamp=2026-07-25T07:36:06.809Z
line=188 outer=event_msg payload=agent_message timestamp=2026-07-25T07:36:08.068Z
line=189 outer=response_item payload=message timestamp=2026-07-25T07:36:08.068Z
line=190 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:36:09.499Z
line=191 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:36:09.568Z
line=192 outer=event_msg payload=token_count timestamp=2026-07-25T07:36:09.568Z
line=193 outer=response_item payload=reasoning timestamp=2026-07-25T07:36:14.475Z
line=194 outer=response_item payload=function_call timestamp=2026-07-25T07:36:15.205Z
line=195 outer=response_item payload=function_call_output timestamp=2026-07-25T07:36:45.217Z
line=196 outer=event_msg payload=token_count timestamp=2026-07-25T07:36:45.220Z
line=197 outer=response_item payload=reasoning timestamp=2026-07-25T07:36:47.258Z
line=198 outer=response_item payload=function_call timestamp=2026-07-25T07:36:47.948Z
line=199 outer=response_item payload=function_call_output timestamp=2026-07-25T07:36:48.004Z
line=200 outer=event_msg payload=token_count timestamp=2026-07-25T07:36:48.004Z
line=201 outer=response_item payload=reasoning timestamp=2026-07-25T07:36:49.697Z
line=202 outer=response_item payload=custom_tool_call timestamp=2026-07-25T07:36:51.336Z
line=203 outer=response_item payload=custom_tool_call_output timestamp=2026-07-25T07:36:52.507Z
line=204 outer=event_msg payload=token_count timestamp=2026-07-25T07:36:52.507Z
line=205 outer=response_item payload=function_call timestamp=2026-07-25T07:36:56.798Z
line=206 outer=response_item payload=function_call_output timestamp=2026-07-25T07:37:02.358Z
line=207 outer=event_msg payload=token_count timestamp=2026-07-25T07:37:02.359Z
line=208 outer=response_item payload=reasoning timestamp=2026-07-25T07:37:15.151Z
