WORKDIR: /audit-output
COMMAND: /audit-output/evidence/stage5/inventory_k.sh /candidate
FILE	reference-semantics/semantics.k	SHA256	57e8f9f3178639bbb87f95e5cc596bbaa91a6463f965b1965911eff9a0269f97
ITEM	reference-semantics/semantics.k	34	requires	requires "semantics/syntax.k"
ITEM	reference-semantics/semantics.k	35	requires	requires "semantics/core.k"
ITEM	reference-semantics/semantics.k	36	requires	requires "semantics/iter.k"
ITEM	reference-semantics/semantics.k	37	requires	requires "semantics/range.k"
ITEM	reference-semantics/semantics.k	38	requires	requires "semantics/operators.k"
ITEM	reference-semantics/semantics.k	39	requires	requires "semantics/int.k"
ITEM	reference-semantics/semantics.k	40	requires	requires "semantics/bool.k"
ITEM	reference-semantics/semantics.k	41	requires	requires "semantics/float.k"
ITEM	reference-semantics/semantics.k	42	requires	requires "semantics/str.k"
ITEM	reference-semantics/semantics.k	43	requires	requires "semantics/set.k"
ITEM	reference-semantics/semantics.k	44	requires	requires "semantics/list.k"
ITEM	reference-semantics/semantics.k	45	requires	requires "semantics/tuple.k"
ITEM	reference-semantics/semantics.k	46	requires	requires "semantics/subscript.k"
ITEM	reference-semantics/semantics.k	47	requires	requires "semantics/comprehension.k"
ITEM	reference-semantics/semantics.k	48	requires	requires "semantics/methods.k"
ITEM	reference-semantics/semantics.k	49	requires	requires "semantics/controls.k"
ITEM	reference-semantics/semantics.k	50	requires	requires "semantics/functions.k"
ITEM	reference-semantics/semantics.k	51	requires	requires "semantics/builtins.k"
ITEM	reference-semantics/semantics.k	52	requires	requires "semantics/call.k"
ITEM	reference-semantics/semantics.k	53	requires	requires "semantics/sort.k"
ITEM	reference-semantics/semantics.k	54	requires	requires "semantics/assert.k"
ITEM	reference-semantics/semantics.k	55	requires	requires "semantics/dict.k"
ITEM	reference-semantics/semantics.k	56	requires	requires "semantics/concrete.k"
ITEM	reference-semantics/semantics.k	58	module	module MPY
ITEM	reference-semantics/semantics.k	59	imports	imports MPY-CORE
ITEM	reference-semantics/semantics.k	60	imports	imports MPY-ITER
ITEM	reference-semantics/semantics.k	61	imports	imports MPY-RANGE
ITEM	reference-semantics/semantics.k	62	imports	imports MPY-OPERATORS
ITEM	reference-semantics/semantics.k	63	imports	imports MPY-INT
ITEM	reference-semantics/semantics.k	64	imports	imports MPY-BOOL
ITEM	reference-semantics/semantics.k	65	imports	imports MPY-FLOAT
ITEM	reference-semantics/semantics.k	66	imports	imports MPY-STR
ITEM	reference-semantics/semantics.k	67	imports	imports MPY-SET
ITEM	reference-semantics/semantics.k	68	imports	imports MPY-LIST
ITEM	reference-semantics/semantics.k	69	imports	imports MPY-TUPLE
ITEM	reference-semantics/semantics.k	70	imports	imports MPY-SUBSCRIPT
ITEM	reference-semantics/semantics.k	71	imports	imports MPY-COMPREHENSION
ITEM	reference-semantics/semantics.k	72	imports	imports MPY-METHODS
ITEM	reference-semantics/semantics.k	73	imports	imports MPY-CONTROLS
ITEM	reference-semantics/semantics.k	74	imports	imports MPY-FUNCTIONS
ITEM	reference-semantics/semantics.k	75	imports	imports MPY-BUILTINS
ITEM	reference-semantics/semantics.k	76	imports	imports MPY-CALL
ITEM	reference-semantics/semantics.k	77	imports	imports MPY-SORT
ITEM	reference-semantics/semantics.k	78	imports	imports MPY-ASSERT
ITEM	reference-semantics/semantics.k	79	imports	imports MPY-DICT
ITEM	reference-semantics/semantics.k	87	module	module MPY-KRUN
ITEM	reference-semantics/semantics.k	88	imports	imports MPY
ITEM	reference-semantics/semantics.k	89	imports	imports MPY-CONCRETE
COUNT	reference-semantics/semantics.k	rules=0	syntax=0	claims=0	configurations=0	contexts=0
FILE	reference-semantics/semantics/assert.k	SHA256	4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b
ITEM	reference-semantics/semantics/assert.k	3	module	module MPY-ASSERT
ITEM	reference-semantics/semantics/assert.k	4	imports	imports MPY-CORE
ITEM	reference-semantics/semantics/assert.k	6	rule	rule <k> Assert(V:Val) => .K ... </k>
ITEM	reference-semantics/semantics/assert.k	7	requires	requires truthy(V)
ITEM	reference-semantics/semantics/assert.k	8	rule	rule <k> Assert(V:Val) ~> _ => .K </k>
ITEM	reference-semantics/semantics/assert.k	11	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/assert.k	13	rule	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
ITEM	reference-semantics/semantics/assert.k	15	attribute	[priority(40)]
COUNT	reference-semantics/semantics/assert.k	rules=3	syntax=0	claims=0	configurations=0	contexts=0
FILE	reference-semantics/semantics/bool.k	SHA256	8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd
ITEM	reference-semantics/semantics/bool.k	5	module	module MPY-BOOL
ITEM	reference-semantics/semantics/bool.k	6	imports	imports MPY-CORE
ITEM	reference-semantics/semantics/bool.k	8	rule	rule applyUn("not", V:Val) => notBool truthy(V)
ITEM	reference-semantics/semantics/bool.k	10	rule	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
ITEM	reference-semantics/semantics/bool.k	11	rule	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
ITEM	reference-semantics/semantics/bool.k	16	context	context BoolOp(_, (HOLE:Expr, _:Exprs))
ITEM	reference-semantics/semantics/bool.k	17	rule	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
ITEM	reference-semantics/semantics/bool.k	18	rule	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
ITEM	reference-semantics/semantics/bool.k	19	requires	requires truthy(V)
ITEM	reference-semantics/semantics/bool.k	20	rule	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
ITEM	reference-semantics/semantics/bool.k	21	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/bool.k	22	rule	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
ITEM	reference-semantics/semantics/bool.k	23	requires	requires truthy(V)
ITEM	reference-semantics/semantics/bool.k	24	rule	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
ITEM	reference-semantics/semantics/bool.k	25	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/bool.k	29	rule	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>
ITEM	reference-semantics/semantics/bool.k	30	attribute	[priority(40)]
ITEM	reference-semantics/semantics/bool.k	31	rule	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
ITEM	reference-semantics/semantics/bool.k	33	requires	requires truthy(V)
ITEM	reference-semantics/semantics/bool.k	34	attribute	[priority(40)]
ITEM	reference-semantics/semantics/bool.k	35	rule	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
ITEM	reference-semantics/semantics/bool.k	37	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/bool.k	38	attribute	[priority(40)]
ITEM	reference-semantics/semantics/bool.k	39	rule	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>
ITEM	reference-semantics/semantics/bool.k	41	requires	requires truthy(V)
ITEM	reference-semantics/semantics/bool.k	42	attribute	[priority(40)]
ITEM	reference-semantics/semantics/bool.k	43	rule	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
ITEM	reference-semantics/semantics/bool.k	45	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/bool.k	46	attribute	[priority(40)]
COUNT	reference-semantics/semantics/bool.k	rules=13	syntax=0	claims=0	configurations=0	contexts=1
FILE	reference-semantics/semantics/builtins.k	SHA256	fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd
ITEM	reference-semantics/semantics/builtins.k	3	module	module MPY-BUILTINS
ITEM	reference-semantics/semantics/builtins.k	4	imports	imports MPY-CORE
ITEM	reference-semantics/semantics/builtins.k	5	imports	imports MPY-STR
ITEM	reference-semantics/semantics/builtins.k	6	imports	imports MPY-SET
ITEM	reference-semantics/semantics/builtins.k	7	imports	imports MPY-ITER
ITEM	reference-semantics/semantics/builtins.k	8	imports	imports MPY-RANGE
ITEM	reference-semantics/semantics/builtins.k	9	imports	imports MPY-INT
ITEM	reference-semantics/semantics/builtins.k	10	imports	imports MPY-METHODS
ITEM	reference-semantics/semantics/builtins.k	17	syntax	syntax Val ::= applyBuiltin(String, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	17	attribute	syntax Val ::= applyBuiltin(String, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	20	syntax	syntax Int ::= seqLen(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	20	attribute	syntax Int ::= seqLen(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	21	rule	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
ITEM	reference-semantics/semantics/builtins.k	22	rule	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
ITEM	reference-semantics/semantics/builtins.k	23	rule	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
ITEM	reference-semantics/semantics/builtins.k	24	rule	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
ITEM	reference-semantics/semantics/builtins.k	25	rule	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
ITEM	reference-semantics/semantics/builtins.k	26	rule	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
ITEM	reference-semantics/semantics/builtins.k	32	rule	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	33	rule	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	34	rule	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
ITEM	reference-semantics/semantics/builtins.k	35	rule	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
ITEM	reference-semantics/semantics/builtins.k	36	syntax	syntax ValSeq ::= charsOf(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	36	attribute	syntax ValSeq ::= charsOf(IntSeq) [function, total]
ITEM	reference-semantics/semantics/builtins.k	37	rule	rule charsOf(.IntSeq)                => .ValSeq
ITEM	reference-semantics/semantics/builtins.k	38	rule	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
ITEM	reference-semantics/semantics/builtins.k	41	rule	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
ITEM	reference-semantics/semantics/builtins.k	44	rule	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
ITEM	reference-semantics/semantics/builtins.k	47	syntax	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
ITEM	reference-semantics/semantics/builtins.k	48	rule	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
ITEM	reference-semantics/semantics/builtins.k	49	rule	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
ITEM	reference-semantics/semantics/builtins.k	50	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int)
ITEM	reference-semantics/semantics/builtins.k	52	requires	requires isInt(V) orBool isBool(V)
ITEM	reference-semantics/semantics/builtins.k	54	syntax	syntax Int ::= intOf(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	54	attribute	syntax Int ::= intOf(Val) [function]
ITEM	reference-semantics/semantics/builtins.k	55	rule	rule intOf(I:Int)  => I
ITEM	reference-semantics/semantics/builtins.k	56	rule	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
ITEM	reference-semantics/semantics/builtins.k	59	syntax	syntax KItem ::= #allAcc(Iterable) | "#allCont"
ITEM	reference-semantics/semantics/builtins.k	60	rule	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
ITEM	reference-semantics/semantics/builtins.k	61	rule	rule <k> #iterDone ~> #allCont => true ... </k>
ITEM	reference-semantics/semantics/builtins.k	62	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k>
ITEM	reference-semantics/semantics/builtins.k	63	requires	requires truthy(V)
ITEM	reference-semantics/semantics/builtins.k	64	rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k>
ITEM	reference-semantics/semantics/builtins.k	65	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/builtins.k	67	syntax	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
ITEM	reference-semantics/semantics/builtins.k	68	rule	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
ITEM	reference-semantics/semantics/builtins.k	69	rule	rule <k> #iterDone ~> #anyCont => false ... </k>
ITEM	reference-semantics/semantics/builtins.k	70	rule	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k>
ITEM	reference-semantics/semantics/builtins.k	71	requires	requires truthy(V)
ITEM	reference-semantics/semantics/builtins.k	72	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k>
ITEM	reference-semantics/semantics/builtins.k	73	requires	requires notBool truthy(V)
ITEM	reference-semantics/semantics/builtins.k	76	syntax	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
ITEM	reference-semantics/semantics/builtins.k	77	rule	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
ITEM	reference-semantics/semantics/builtins.k	78	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k>
ITEM	reference-semantics/semantics/builtins.k	79	requires	requires isInt(V)
ITEM	reference-semantics/semantics/builtins.k	80	rule	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	81	rule	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
ITEM	reference-semantics/semantics/builtins.k	82	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int)
ITEM	reference-semantics/semantics/builtins.k	84	requires	requires isInt(V)
ITEM	reference-semantics/semantics/builtins.k	86	syntax	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
ITEM	reference-semantics/semantics/builtins.k	87	rule	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
ITEM	reference-semantics/semantics/builtins.k	88	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k>
ITEM	reference-semantics/semantics/builtins.k	89	requires	requires isInt(V)
ITEM	reference-semantics/semantics/builtins.k	90	rule	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
ITEM	reference-semantics/semantics/builtins.k	91	rule	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
ITEM	reference-semantics/semantics/builtins.k	92	rule	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int)
ITEM	reference-semantics/semantics/builtins.k	94	requires	requires isInt(V)
ITEM	reference-semantics/semantics/builtins.k	97	syntax	syntax Int ::= maxVals(Int, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	97	attribute	syntax Int ::= maxVals(Int, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	98	rule	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
ITEM	reference-semantics/semantics/builtins.k	99	rule	rule maxVals(M:Int, .Vals)           => M
ITEM	reference-semantics/semantics/builtins.k	100	rule	rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
ITEM	reference-semantics/semantics/builtins.k	102	syntax	syntax Int ::= minVals(Int, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	102	attribute	syntax Int ::= minVals(Int, Vals) [function]
ITEM	reference-semantics/semantics/builtins.k	103	rule	rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
ITEM	reference-semantics/semantics/builtins.k	104	rule	rule minVals(M:Int, .Vals)           => M
ITEM	reference-semantics/semantics/builtins.k	105	rule	rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
ITEM	reference-semantics/semantics/builtins.k	108	rule	rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N))))
ITEM	reference-semantics/semantics/builtins.k	109	requires	requires N >=Int 0
ITEM	reference-semantics/semantics/builtins.k	111	rule	rule applyBuiltin("bin", N:Int, .Vals)
ITEM	reference-semantics/semantics/builtins.k	113	requires	requires N <Int 0
ITEM	reference-semantics/semantics/builtins.k	114	syntax	syntax IntSeq ::= binCodes(Int) [function, total]
